enlace,experimento,secuencia,pci,pcm,pcf
4,4,2,65,79,87
4,4,3,67,80,89
4,4,4,68,79,87
4,4,5,65,81,90
4,4,6,67,80,88
4,4,7,68,79,85
4,4,8,67,79,88
4,4,9,68,77,84
4,4,10,67,80,85
4,5,1,69,80,87
4,5,2,68,80,89
4,5,3,67,80,84
4,5,4,67,80,88
4,5,5,67,81,92
4,5,6,68,80,88
4,5,7,65,80,90
4,5,8,66,80,84
4,5,9,67,82,85
4,5,10,65,80,90
4,6,1,67,82,91
4,6,2,69,80,88
4,6,3,70,81,86
4,6,4,68,80,87
4,6,5,68,78,82
4,6,6,66,80,85
4,6,7,68,81,87
4,6,8,68,79,88
4,6,9,68,82,86
4,6,10,67,81,90
4,7,1,67,81,89
4,7,2,68,78,84
4,7,3,69,80,83
4,7,4,70,82,85
4,7,5,69,80,84
4,7,6,71,79,88
4,7,7,69,81,85
4,7,8,68,80,87
4,7,9,69,82,84
4,7,10,67,81,87
4,8,1,68,83,87
4,8,2,68,79,83
4,8,3,66,80,86
4,8,4,65,79,83
4,8,5,69,82,87
4,8,6,68,82,96
4,8,7,68,80,88
4,8,8,67,81,87
4,8,9,66,81,86
4,8,10,68,80,86
4,9,1,67,81,88
4,9,2,68,79,89
4,9,3,67,82,91
4,9,4,68,84,90
4,9,5,69,81,88
4,9,6,69,80,84
4,9,7,67,82,87
4,9,8,67,79,83
4,9,9,68,80,89
4,9,10,69,82,85
4,10,1,66,80,86
4,10,2,67,81,87
4,10,3,69,81,86
4,10,4,68,82,88
4,10,5,67,78,88
4,10,6,66,81,90
4,10,7,69,82,89
4,10,8,69,82,90
4,10,9,70,81,87
4,10,10,69,80,86
8,1,1,67,77,82
8,1,2,69,77,90
8,1,3,67,79,87
8,1,4,66,76,87
8,1,5,67,79,86
8,1,6,68,81,85
8,1,7,68,79,86
8,1,8,68,79,87
8,1,9,62,78,86
8,1,10,68,74,83
8,2,1,69,79,85
8,2,2,68,78,89
8,2,3,68,76,85
8,2,4,70,81,86
8,2,5,68,78,86
8,2,6,67,78,81
8,2,7,68,79,87
8,2,8,68,80,85
8,2,9,67,80,86
8,2,10,67,80,84
8,3,1,67,80,84
8,3,2,67,78,83
8,3,3,68,78,82
8,3,4,68,80,86
8,3,5,69,77,85
8,3,6,68,78,87
8,3,7,69,79,84
8,3,8,65,78,87
8,3,9,66,79,82
8,3,10,67,78,84
8,4,1,70,79,87
8,4,2,67,77,86
8,4,3,70,79,84
8,4,4,68,77,86
8,4,5,68,77,83
8,4,6,69,78,88
8,4,7,69,78,84
8,4,8,69,77,83
8,4,9,67,77,82
8,4,10,66,78,84
8,5,1,66,77,85
8,5,2,68,78,87
8,5,3,68,78,84
8,5,4,68,77,83
8,5,5,67,76,81
8,5,6,67,79,88
8,5,7,68,77,83
8,5,8,68,80,87
8,5,9,69,78,88
8,5,10,69,78,89
8,6,1,68,80,85
8,6,2,67,78,83
8,6,3,66,80,85
8,6,4,70,79,84
8,6,5,68,78,85
8,6,6,66,78,83
8,6,7,67,78,86
8,6,8,67,78,87
8,6,9,67,80,85
8,6,10,69,75,84
8,7,1,68,78,85
8,7,2,68,82,89
8,7,3,67,79,83
8,7,4,66,78,85
8,7,5,71,78,86
8,7,6,69,78,83
8,7,7,67,78,86
8,7,8,66,79,86
8,7,9,66,78,87
8,7,10,68,76,86
8,8,1,68,78,85
8,8,2,68,80,85
8,8,3,69,79,84
8,8,4,67,78,85
8,8,5,68,80,86
8,8,6,70,77,86
8,8,7,66,81,84
8,8,8,67,79,83
8,8,9,67,80,89
8,8,10,67,79,83
8,9,1,67,83,91
8,9,2,66,80,82
8,9,3,68,79,87
8,9,4,67,80,85
8,9,5,67,80,85
8,9,6,64,77,84
8,9,7,67,75,82
8,9,8,68,77,86
8,9,9,65,78,85
8,9,10,65,81,85
8,10,1,67,77,83
8,10,2,70,77,85
8,10,3,66,76,83
8,10,4,67,77,82
8,10,5,69,79,83
8,10,6,68,81,91
8,10,7,67,79,86
8,10,8,64,77,82
8,10,9,68,81,87
8,10,10,69,76,85
16,1,1,68,71,83
16,1,2,68,72,85
16,1,3,66,73,85
16,1,4,68,74,83
16,1,5,69,73,83
16,1,6,67,74,80
16,1,7,66,71,79
16,1,8,66,71,79
16,1,9,68,70,83
16,1,10,70,76,83
16,2,1,68,73,78
16,2,2,65,74,78
16,2,3,67,75,85
16,2,4,66,71,80
16,2,5,67,74,85
16,2,6,66,76,80
16,2,7,66,75,81
16,2,8,65,73,80
16,2,9,67,73,82
16,2,10,67,75,88
16,3,1,66,76,85
16,3,2,65,74,85
16,3,3,68,76,82
16,3,4,65,72,87
16,3,5,67,73,82
16,3,6,67,72,84
16,3,7,66,72,84
16,3,8,67,75,79
16,3,9,66,76,80
16,3,10,66,76,82
16,4,1,66,72,78
16,4,2,68,74,82
16,4,3,68,74,80
16,4,4,66,73,82
16,4,5,68,71,84
16,4,6,70,74,79
16,4,7,66,75,83
16,4,8,67,75,81
16,4,9,66,74,83
16,4,10,66,71,83
16,5,1,64,74,78
16,5,2,67,76,84
16,5,3,65,73,81
16,5,4,69,73,79
16,5,5,69,75,83
16,5,6,67,75,88
16,5,7,66,76,82
16,5,8,68,75,80
16,5,9,66,74,87
16,5,10,65,74,81
16,6,1,67,77,80
16,6,2,65,71,79
16,6,3,65,77,84
16,6,4,66,75,82
16,6,5,65,78,87
16,6,6,68,73,84
16,6,7,63,76,83
16,6,8,67,75,83
16,6,9,68,70,84
16,6,10,66,75,82
16,7,1,65,73,78
16,7,2,68,75,82
16,7,3,66,77,83
