#n_nodes,m_edges,aspl,diameter,acluster,assort,n_conn,n_comp,o_largestc
2500,9900,4.802375,9,0.156945,0.011402,4,1,2500
2475,9711,4.817513,9,0.157136,0.009813,4,1,2475
2450,9499,4.859754,9,0.156496,0.006674,4,1,2450
2425,9328,4.866498,9,0.156459,0.006577,3,1,2425
2400,9126,4.876652,10,0.156413,0.005809,3,1,2400
2375,8955,4.892334,10,0.156197,0.006500,3,1,2375
2350,8796,4.897742,10,0.156931,0.007538,3,1,2350
2325,8619,4.908867,10,0.156271,0.007779,3,1,2325
2300,8413,4.939380,10,0.156428,0.005893,3,1,2300
2275,8262,4.941966,10,0.156951,0.007962,3,1,2275
2250,8061,5.016535,10,0.155008,0.008179,2,1,2250
2225,7896,5.025307,10,0.155563,0.006057,2,1,2225
2200,7732,5.041563,10,0.156519,0.005843,2,1,2200
2175,7562,5.054741,10,0.156324,0.005650,2,1,2175
2150,7408,5.062737,10,0.157545,0.005141,2,1,2150
2125,7233,5.086356,10,0.157212,0.004585,2,1,2125
2100,7082,5.100019,10,0.157605,0.004503,2,1,2100
2075,6934,5.123274,10,0.159902,0.001400,2,1,2075
2050,6763,5.154529,10,0.159248,0.002126,2,1,2050
2025,6603,5.172765,10,0.159037,0.003727,2,1,2025
2000,6457,5.187273,10,0.158951,0.004440,2,1,2000
1975,6306,5.200950,10,0.158790,0.003888,1,1,1975
1950,6164,5.210674,11,0.159566,0.003481,1,1,1950
1925,6014,5.223794,10,0.160331,0.001822,1,1,1925
1900,5854,5.253512,11,0.160351,-0.000729,1,2,1899
1875,5717,5.282305,11,0.160978,-0.001081,1,2,1874
1850,5560,5.327629,11,0.161417,-0.001065,1,2,1849
1825,5415,5.351675,11,0.162428,0.000444,1,2,1824
1800,5280,5.366231,11,0.162281,0.003533,1,2,1799
1775,5116,5.407167,11,0.159563,0.002274,1,2,1774
1750,4966,5.432348,11,0.159449,-0.001256,1,2,1749
1725,4829,5.458262,12,0.157256,-0.000683,1,2,1724
1700,4715,5.472157,12,0.157762,-0.002761,1,2,1699
1675,4540,5.565164,12,0.155762,0.009250,1,1,1675
1650,4379,5.686177,13,0.151100,0.011852,1,3,1648
1625,4260,5.711215,13,0.151211,0.011703,1,3,1623
1600,4141,5.731142,13,0.152621,0.013746,1,3,1598
1575,4039,5.737275,13,0.153362,0.015430,1,3,1573
1550,3939,5.752193,13,0.157024,0.013525,1,3,1548
1525,3799,5.844374,13,0.155368,0.018011,1,3,1523
1500,3657,5.935562,13,0.153661,0.020163,1,4,1496
1475,3553,5.948636,13,0.152431,0.021460,1,5,1470
1450,3438,5.990655,15,0.149751,0.021440,1,5,1445
1425,3322,6.047355,15,0.150131,0.016968,1,5,1420
1400,3195,6.142790,15,0.151625,0.007322,1,5,1395
1375,3077,6.204039,15,0.150580,0.005127,1,6,1369
1350,2967,6.271376,15,0.150986,0.001796,1,8,1342
1325,2845,6.358463,15,0.147860,-0.005108,1,7,1318
1300,2737,6.449377,15,0.148943,-0.001873,1,9,1290
1275,2650,6.458690,16,0.150285,-0.007051,1,10,1264
1250,2542,6.549744,17,0.152808,-0.010397,1,11,1238
1225,2464,6.567895,17,0.150695,-0.005984,1,12,1212
1200,2374,6.594892,17,0.148853,-0.002104,1,14,1184
1175,2271,6.669731,17,0.147755,-0.002484,1,18,1155
1150,2177,6.706287,17,0.149341,-0.010563,1,21,1125
1125,2089,6.802396,17,0.146850,-0.011176,1,27,1094
1100,2015,6.832201,18,0.149799,-0.011652,1,30,1066
1075,1919,7.071509,18,0.146163,-0.024307,1,30,1040
1050,1835,7.167282,19,0.143481,-0.018453,1,29,1016
1025,1756,7.267038,18,0.145001,-0.013541,1,31,988
1000,1669,7.319853,18,0.141110,-0.011994,1,38,954
975,1601,7.344585,19,0.141920,-0.008403,1,37,931
950,1511,7.582696,19,0.137845,-0.014876,1,40,902
925,1436,7.658231,18,0.139744,-0.018856,1,44,872
900,1350,7.847155,19,0.137998,-0.043261,1,50,841
875,1275,8.065767,21,0.141151,-0.050152,1,52,816
850,1184,8.723558,23,0.132355,-0.056484,1,57,784
825,1107,9.139379,26,0.131616,-0.068133,1,62,750
800,1052,9.204832,26,0.133042,-0.070438,1,65,722
775,989,9.179947,26,0.131462,-0.090233,1,77,676
750,933,9.038070,24,0.135525,-0.106001,1,82,632
725,855,10.028273,31,0.124944,-0.107996,1,93,589
700,807,10.156444,30,0.120274,-0.097201,1,96,562
675,765,9.756482,25,0.125221,-0.104390,1,102,532
650,716,10.393926,28,0.124856,-0.105206,1,101,505
625,659,11.972712,30,0.125842,-0.111419,1,107,474
600,611,11.682613,29,0.121926,-0.112964,1,113,424
575,568,11.670496,29,0.131896,-0.117722,1,118,391
550,528,11.638407,29,0.133288,-0.131863,1,121,364
525,483,11.651567,29,0.140753,-0.137782,1,129,325
500,426,9.375116,27,0.129416,-0.141812,1,142,203
475,378,9.685162,26,0.111062,-0.203101,1,143,128
450,337,7.543746,22,0.107246,-0.158867,1,151,77
425,298,6.338266,15,0.159145,-0.333646,1,160,44
400,269,6.051209,15,0.115288,-0.309006,1,160,38
375,232,6.161905,15,0.119841,-0.403672,1,161,36
350,196,5.640212,15,0.163095,-0.460565,1,166,28
325,174,3.510870,8,0.132044,-0.361515,1,162,24
300,158,3.510870,8,0.132044,-0.361515,1,152,24
275,136,3.466667,8,0.054649,-0.344000,1,146,21
250,120,2.723810,6,0.076508,-0.504777,1,136,15
225,100,2.723810,6,0.076508,-0.504777,1,130,15
200,78,2.527778,5,0.425926,-0.666667,1,125,9
175,62,2.500000,5,0.270833,-0.396825,1,115,8
150,46,1.933333,3,0.000000,-0.666667,1,105,6
125,27,1.800000,3,0.361111,-0.466667,1,99,6
100,16,1.333333,2,0.583333,-0.714286,1,85,4
75,12,1.333333,2,0.583333,-0.714286,1,64,4
50,8,1.333333,2,0.583333,-0.714286,1,43,4
25,2,1.000000,1,0.000000,na,1,23,2
1,0,0.000000,0,0.000000,na,0,1,1
