num_nodes,removed,mean_r1,std_r1,mean_r2,std_r2
2500,0.0,0.13660680088587274,0.0024954434165702128,0.1110766153869,0.0022442605824977346
2475,0.01,0.1365551334934839,0.0026089544826324107,0.11066560315639,0.0029159010840761803
2450,0.02,0.13653961795259317,0.002794339985023934,0.11059478155616001,0.003254775744572542
2425,0.03,0.136466878353227,0.0028754131080693138,0.11040177847021,0.0037100658791359813
2400,0.04,0.13638796006380502,0.0029198396292983548,0.11018329716905001,0.0042698652690582595
2375,0.05,0.13641182368837299,0.003044485965201392,0.11002754964433001,0.00466905316200923
2350,0.06,0.13639934840045587,0.0031677173002418865,0.1098456171988,0.005072320522099631
2325,0.07,0.13638867994326914,0.0031975652922475667,0.10964982501555,0.005647665808296159
2300,0.08,0.1362543190550013,0.0031205388672510192,0.10961196117001,0.005906896920529487
2275,0.09,0.13622685066241366,0.003102404148196143,0.10957394120561,0.006049361337833048
2250,0.1,0.13625052818299527,0.003299957979583603,0.1093351343312,0.006738381065023394
2225,0.11,0.13631643726725293,0.0033550907005267683,0.10916188467368,0.007130221909519605
2200,0.12,0.13626969503320344,0.0034840063137041295,0.1090835030071,0.007193564789418976
2175,0.13,0.13623518386971484,0.0035802182574149128,0.10896202346311,0.007527734745979331
2150,0.14,0.13638377528861045,0.003693419164131363,0.10877106876974,0.00794653625695042
2125,0.15,0.13627300844989676,0.0036930046313057956,0.10841770153267,0.008767440077529425
2100,0.16,0.13619598961605767,0.003797734294285597,0.10832949933116,0.009013061361906527
2075,0.17,0.13624090456778398,0.0038560183440196406,0.10804635455690001,0.009830604300911497
2050,0.18,0.1360600732118252,0.004009496859503337,0.10772476472103999,0.010673878012754852
2025,0.19,0.13603568506344474,0.004175129883660846,0.10748324482356,0.01117950314519094
2000,0.2,0.13577312209691286,0.004278155236370838,0.10725201334091,0.011885837780611997
1975,0.21,0.13569269769206732,0.004490387511412244,0.10706144090304999,0.012275818898463084
1950,0.22,0.13559803404621001,0.004564588253624126,0.10669230640708,0.01286320015040811
1925,0.23,0.13573434296105427,0.004533127261622582,0.10651121969312,0.0134025902999751
1900,0.24,0.13574338193848876,0.004670230031837552,0.10624666537159999,0.014147950434598983
1875,0.25,0.13568399423646282,0.004754903108840797,0.10590900374715,0.01529706169709929
1850,0.26,0.1356473153532291,0.004885143146033115,0.10564511675925001,0.015981968247671646
1825,0.27,0.13553396635960577,0.005123222912144164,0.10546666005423001,0.016720719090770768
1800,0.28,0.13530942556874018,0.005348886608929818,0.10514042189928001,0.017677240296176698
1775,0.29,0.1351150482811602,0.005506914208944959,0.1046819717546,0.018824801297273413
1750,0.3,0.13496549201359825,0.0055282382934291885,0.10441963328827,0.019095983981574173
1725,0.31,0.13503440023591498,0.005721688025045511,0.10426548044437,0.019407765095328874
1700,0.32,0.13487658621265322,0.005789015081953806,0.103758656605196,0.020283720147703008
1675,0.33,0.13466462445094732,0.0058906866846565745,0.103288556216845,0.0210471406833487
1650,0.34,0.1344398570000054,0.006037478885047346,0.102823021836518,0.02228081155917812
1625,0.35,0.1344846125915838,0.006071092426539689,0.102317802943394,0.023461553963647505
1600,0.36,0.13406627019207573,0.006241549941069122,0.101850697094763,0.02438605537706307
1575,0.37,0.1339418418163037,0.006459198368141868,0.101102975526786,0.02523306410874981
1550,0.38,0.13388199234834483,0.006663784951112937,0.100776980133534,0.025249762181076343
1525,0.39,0.133365902985589,0.006657104594599817,0.100244937436616,0.02636855982642578
1500,0.4,0.13290243188080073,0.006833902811498104,0.099814004646144,0.026544886555398984
1475,0.41,0.1325561111269568,0.00722388500900836,0.099696363735796,0.02628851066023672
1450,0.42,0.13221610585025023,0.007262368888744092,0.09956428309001901,0.025966630964855273
1425,0.43,0.13145537709150099,0.00744495053565172,0.099034949029326,0.0260908545390339
1400,0.44,0.13124411306877123,0.00743357162341923,0.098729599844288,0.026166760546749875
1375,0.45,0.13076359055802864,0.007439825683477246,0.097825768900294,0.027411343423100795
1350,0.46,0.13020256599135396,0.007563885189224713,0.097004433750077,0.027806317708973665
1325,0.47,0.12925050406377056,0.007653180308365868,0.096292052207979,0.028933907158946354
1300,0.48,0.12874711198876096,0.007807556260952057,0.09588923215370199,0.02859355762115995
1275,0.49,0.12813244325616988,0.00800742315191855,0.095061505007875,0.02919710099581876
1250,0.5,0.1271994604874739,0.007942975184480455,0.09463769944962,0.029455283019074078
1225,0.51,0.12650761740416522,0.00798514987733482,0.093827822444046,0.030111885806521823
1200,0.52,0.1257061876678365,0.007815799328226914,0.093451947249035,0.02970540015180331
1175,0.53,0.1247403799878133,0.008214812580465084,0.093384109488601,0.027577868433867888
1150,0.54,0.12386812542839752,0.00832062691458482,0.092448744958076,0.027642090702915602
1125,0.55,0.1228100217522922,0.008292386519504815,0.090698665519392,0.031360186353999585
1100,0.56,0.12202957842974455,0.008677610250103529,0.08993570633215199,0.03118534022833494
1075,0.57,0.12138350513643249,0.00852275667970685,0.08941872569396,0.031116758110792172
1050,0.58,0.12007693959332245,0.008936502591555998,0.088678174004932,0.030794454461516213
1025,0.59,0.11890351591299972,0.009293329920245778,0.088108437810946,0.03078925126216801
1000,0.6,0.1185322935641143,0.010012232109118037,0.087432054236778,0.030651066797660928
975,0.61,0.11732674043973772,0.0108243049583225,0.086964370333635,0.030518938134478132
950,0.62,0.11666479261799215,0.011723361632334126,0.085747800940738,0.030195445522561887
925,0.63,0.11526198706510002,0.012335723046570156,0.08435751979092901,0.02981220605703707
900,0.64,0.11405429951143058,0.012043737024642624,0.083170407594525,0.02967153602808671
