enlace,mean_r1_mattr,std_r1_mattr,mean_r2_mattr,std_r2_mattr
32,0.44535209800850817,0.007902251532545762,0.44651588171937495,0.010478671747369554
16,0.46455275464860435,0.0026259290416565206,0.4465530994070561,0.0018519553297410667
8,0.4433295346918663,0.004696826353847405,0.44118933169243535,0.0056337771330580416
4,0.41388729616725317,0.008252780535243925,0.4503201141036258,0.006217337058645266
2,0.38627689949769184,0.011954265043214446,0.46586467658998376,0.008389146557935956
1,0.4107674941531556,0.05328186078152933,0.4742076354593089,0.003914199640075806
