#n_nodes  m_edges  aspl  diameter  acluster  assort    n_conn  n_comp  o_largestc
2500  9900   5.91104409764  13  0.119444372778   0.0753398459641  4   1  2500
2475  9696   5.93523496893  13  0.118770994954   0.0802933094527  3   1  2475
2450  9495   5.96158132016  13  0.119014038214   0.0794929630479  3   1  2450
2425  9293    5.9998366847  13  0.119385366842   0.0650936774111  3   1  2425
2400  9097   6.02189870779  13  0.119489973319   0.0731713250152  3   1  2400
2375  8903    6.0400053208  13  0.119391677249   0.0747502070695  3   1  2375
2350  8728   6.06076646468  13  0.119382317655   0.0757344481496  3   1  2350
2325  8542   6.08722743509  13  0.119283159517   0.0739770850829  2   1  2325
2300  8365   6.09998222289  14  0.118123212163   0.0829172515809  2   1  2300
2275  8183   6.12371867359  14    0.1174743602    0.087798733427  2   1  2275
2250  7974   6.16704233981  15  0.116677943304   0.0827276727124  2   1  2250
2225  7791   6.18915043246  15  0.117294315186   0.0826919541662  2   1  2225
2200  7610   6.20025920873  15   0.11724523609   0.0835173179667  2   1  2200
2175  7437   6.21857310535  15  0.117023939368    0.085014010605  2   1  2175
2150  7270   6.24869631089  15  0.117911096627   0.0865262286545  2   1  2150
2125  7103   6.27465824748  15  0.118310175686   0.0917342081286  1   1  2125
2100  6932   6.29068899022  15  0.118136380164   0.0934512751314  1   1  2100
2075  6777    6.3050565231  15  0.118146604449   0.0883170982455  1   1  2075
2050  6610   6.33212203454  15  0.117676038104   0.0944240088589  1   1  2050
2025  6452   6.34467818279  15  0.117859498849   0.0973632037908  1   1  2025
2000  6275   6.37874637319  15   0.11766305741   0.0910256732205  1   1  2000
1975  6116   6.40218691085  15  0.118605676571   0.0941914311951  1   1  1975
1950  5957   6.44426675087  15  0.119244824015   0.0870624919279  1   1  1950
1925  5807   6.47192537193  15  0.118151009633   0.0911590840667  1   1  1925
1900  5655   6.50499986142  15  0.117219937143   0.0960093468843  1   1  1900
1875  5505   6.52764197794  15  0.117000563056   0.0980008336149  1   1  1875
1850  5368    6.5512940523  15   0.11505495119   0.0963205622962  1   1  1850
1825  5219   6.59412641192  15  0.116024450035   0.0979856115381  1   1  1825
1800  5067   6.62902167871  15  0.115269344447   0.0992062963535  1   1  1800
1775  4938   6.65452657319  16  0.114752775764    0.108937989243  1   1  1775
1750  4802   6.69696381606  16   0.11471261871    0.108148318164  1   1  1750
1725  4657   6.73505363328  16  0.115003229841    0.112696933893  1   1  1725
1700  4535   6.77286368826  16  0.115354349879    0.116582081317  1   2  1699
1675  4395   6.81594171539  17   0.11626381367    0.120421345426  1   2  1674
