;ciclos;avg_degree;avg_clustering_coefficient
0;0;3.92;0.0
1;1;7.88;0.2917
2;2;7.902;0.2742
3;3;7.91;0.2659
4;4;7.914;0.2593
5;5;7.914;0.254
6;6;7.914;0.2489
7;7;7.914;0.2448
8;8;7.914;0.242
9;9;7.914;0.2389
10;10;7.914;0.2356
11;11;7.914;0.2329
12;12;7.918;0.2311
13;13;7.918;0.2288
14;14;7.918;0.227
15;15;7.918;0.2251
16;16;7.918;0.2238
17;17;7.918;0.2224
18;18;7.918;0.2206
19;19;7.918;0.2198
20;20;7.918;0.2184
21;21;7.918;0.218
22;22;7.918;0.2167
23;23;7.918;0.2158
24;24;7.918;0.2146
25;25;7.918;0.2144
26;26;7.918;0.2139
27;27;7.918;0.2134
28;28;7.918;0.2126
29;29;7.918;0.2122
30;30;7.918;0.2113
