;ciclo;nodes;edges;density;max_deg;min_deg;avg_deg;assortativity;avpl;diameter
0;0;2500;4900;0.001568627450980392;4;2.0;3.92;0.6504952980919215;29.092465434324986;98
1;1;2500;9836;0.003148779511804722;11;4.0;7.867;0.4405700098337451;12.446821711224919;35
2;2;2500;9896;0.003167987194877951;15;4.0;7.918;0.26660094139826984;9.371818622060468;25
3;3;2500;9899;0.0031689475790316127;21;4.0;7.918;0.1531417444795598;8.101576610824221;19
4;4;2500;9900;0.003169267707082833;26;4.0;7.92;0.09675766452740284;7.462891624213348;18
5;5;2500;9900;0.003169267707082833;27;4.0;7.92;0.07942366216444786;7.020828292185432;16
6;6;2500;9900;0.003169267707082833;29;4.0;7.92;0.07342710909731347;6.703426845688927;15
7;7;2500;9900;0.003169267707082833;30;4.0;7.92;0.07612842275248842;6.391759033608795;14
8;8;2500;9900;0.003169267707082833;31;4.0;7.92;0.07934693102474638;6.126901850526818;14
9;9;2500;9900;0.003169267707082833;35;4.0;7.92;0.08151708625114609;5.951595635279894;13
10;10;2500;9900;0.003169267707082833;37;4.0;7.92;0.09013876983279044;5.815192584839692;13
11;11;2500;9900;0.003169267707082833;38;4.0;7.92;0.0932838994533129;5.674038646840609;13
12;12;2500;9900;0.003169267707082833;41;4.0;7.92;0.08999071968734941;5.56480552496705;12
13;13;2500;9900;0.003169267707082833;43;4.0;7.92;0.09450732160619792;5.44900405863593;12
14;14;2500;9900;0.003169267707082833;47;4.0;7.92;0.09541242301635934;5.348123139447741;12
15;15;2500;9900;0.003169267707082833;51;4.0;7.92;0.09389493596912125;5.283898285812527;12
16;16;2500;9900;0.003169267707082833;52;4.0;7.92;0.09966810150571971;5.229668415617012;11
17;17;2500;9900;0.003169267707082833;57;4.0;7.92;0.0984439045836994;5.159916738327423;11
18;18;2500;9900;0.003169267707082833;57;4.0;7.92;0.10510794579877651;5.122204131594677;10
19;19;2500;9900;0.003169267707082833;57;4.0;7.92;0.10588038837061717;5.068331600911232;10
20;20;2500;9900;0.003169267707082833;58;4.0;7.92;0.10336565212668741;5.036124273108601;10
21;21;2500;9900;0.003169267707082833;59;4.0;7.92;0.10541825472672815;4.981978437361732;10
22;22;2500;9900;0.003169267707082833;62;4.0;7.92;0.10016312296962337;4.928062689714854;10
23;23;2500;9900;0.003169267707082833;62;4.0;7.92;0.10122492210426243;4.881359704797876;10
24;24;2500;9900;0.003169267707082833;60;4.0;7.92;0.10768136900808126;4.855706411621637;10
25;25;2500;9900;0.003169267707082833;60;4.0;7.92;0.10392409531125718;4.8239391413910235;10
26;26;2500;9900;0.003169267707082833;61;4.0;7.92;0.10471544887747812;4.797085818539314;10
27;27;2500;9900;0.003169267707082833;61;4.0;7.92;0.10662224621598818;4.772851187729725;9
28;28;2500;9900;0.003169267707082833;60;4.0;7.92;0.10672035172230285;4.757643763411392;10
29;29;2500;9900;0.003169267707082833;63;4.0;7.92;0.10479809933481433;4.728731308614715;9
30;30;2500;9900;0.003169267707082833;63;4.0;7.92;0.10226454769579608;4.713776258782385;9
