;ciclo;nodes;edges;density;max_deg;min_deg;avg_deg;assortativity;avpl;diameter
0;0;2500;4900;0.001568627450980392;4;2.0;3.92;0.6504952980919219;29.09197000336286;98
1;1;2500;9638;0.0030853941576630653;12;4.0;7.71;0.23756889110427157;12.054661346153017;35
2;2;2500;9874;0.0031609443777511005;14;4.0;7.9;0.15056069385618767;9.064388959730552;24
3;3;2500;9899;0.0031689475790316127;17;4.0;7.918;0.1426072558628139;7.318429689951526;18
4;4;2500;9899;0.0031689475790316127;22;4.0;7.918;0.1371743738587043;6.289345365508331;15
5;5;2500;9900;0.003169267707082833;24;4.0;7.92;0.1317909204093763;5.5446584185202035;12
6;6;2500;9900;0.003169267707082833;27;4.0;7.92;0.14596206625183317;5.0899030055574235;11
7;7;2500;9900;0.003169267707082833;30;4.0;7.92;0.14234906660348134;4.790866284708564;10
8;8;2500;9900;0.003169267707082833;32;4.0;7.92;0.13933707184249405;4.592309388831693;9
9;9;2500;9900;0.003169267707082833;34;4.0;7.92;0.15038391322658232;4.455596740497523;8
10;10;2500;9900;0.003169267707082833;37;4.0;7.92;0.13903649380165947;4.387478263157179;8
11;11;2500;9900;0.003169267707082833;39;4.0;7.92;0.1330950563290064;4.342789700273692;7
12;12;2500;9900;0.003169267707082833;40;4.0;7.92;0.11611656600685406;4.3258236843923825;7
13;13;2500;9900;0.003169267707082833;39;4.0;7.92;0.1046398938389902;4.321932819663494;7
14;14;2500;9900;0.003169267707082833;37;4.0;7.92;0.10778423960607005;4.326188766142736;7
15;15;2500;9900;0.003169267707082833;36;4.0;7.92;0.10972082745725402;4.330010489657288;7
16;16;2500;9900;0.003169267707082833;34;4.0;7.92;0.09805130215827361;4.333714807261932;7
17;17;2500;9900;0.003169267707082833;34;4.0;7.92;0.08886574993636748;4.353589822908686;7
18;18;2500;9900;0.003169267707082833;34;4.0;7.92;0.07501334191500073;4.364063086275783;7
19;19;2500;9900;0.003169267707082833;35;4.0;7.92;0.07870513811647002;4.3819856399315675;7
20;20;2500;9900;0.003169267707082833;30;4.0;7.92;0.07949132772010986;4.393721989446885;7
21;21;2500;9900;0.003169267707082833;27;4.0;7.92;0.06833409034766139;4.404587123182164;7
22;22;2500;9900;0.003169267707082833;24;4.0;7.92;0.059894874302019376;4.40925962839214;7
23;23;2500;9900;0.003169267707082833;26;4.0;7.92;0.06601629798366995;4.4210064834754945;7
24;24;2500;9900;0.003169267707082833;24;4.0;7.92;0.06841670342377035;4.429573954250029;7
25;25;2500;9900;0.003169267707082833;20;4.0;7.92;0.06417919605488473;4.439445887102049;7
26;26;2500;9900;0.003169267707082833;25;4.0;7.92;0.06863270523181768;4.448615646256951;7
27;27;2500;9900;0.003169267707082833;23;4.0;7.92;0.06600793255736645;4.454186993158215;7
28;28;2500;9900;0.003169267707082833;20;4.0;7.92;0.07440334683667632;4.449542754702991;7
29;29;2500;9900;0.003169267707082833;20;4.0;7.92;0.06511493659503843;4.4456967571832635;7
30;30;2500;9900;0.003169267707082833;21;4.0;7.92;0.0730633967499724;4.4519942064268365;7
