;ciclos;avg_degree;avg_clustering_coefficient
0;0;3.92;0.0
1;1;7.875;0.2932
2;2;7.906;0.2737
3;3;7.91;0.2642
4;4;7.914;0.2576
5;5;7.914;0.2524
6;6;7.914;0.2479
7;7;7.914;0.244
8;8;7.914;0.2408
9;9;7.914;0.2375
10;10;7.914;0.2355
11;11;7.914;0.2329
12;12;7.914;0.2305
13;13;7.914;0.2289
14;14;7.914;0.2274
15;15;7.914;0.2258
16;16;7.914;0.2239
17;17;7.914;0.2219
18;18;7.914;0.2205
19;19;7.914;0.2191
20;20;7.914;0.2181
21;21;7.914;0.217
22;22;7.914;0.2163
23;23;7.914;0.2156
24;24;7.914;0.2145
25;25;7.914;0.2133
26;26;7.914;0.2117
27;27;7.914;0.2108
28;28;7.918;0.2098
29;29;7.918;0.2084
30;30;7.918;0.2078
