;ciclo;nodes;edges;density;max_deg;min_deg;avg_deg;assortativity;avpl;diameter
0;0;2500;4900;0.001568627450980392;4;2.0;3.92;0.6504952980919219;29.09197000336286;98
1;1;2500;9698;0.0031046018407362946;13;4.0;7.758;0.27296052555209166;11.983163228039276;35
2;2;2500;9886;0.003164785914365746;15;4.0;7.91;0.17755494262847518;9.032228154607937;24
3;3;2500;9900;0.003169267707082833;17;4.0;7.92;0.13772991467275025;7.267635318101609;18
4;4;2500;9900;0.003169267707082833;20;4.0;7.92;0.12439580375147216;6.1848119066837155;15
5;5;2500;9900;0.003169267707082833;26;4.0;7.92;0.13394305096325493;5.49257737152104;12
6;6;2500;9900;0.003169267707082833;27;4.0;7.92;0.13927932552112457;5.025312416934623;11
7;7;2500;9900;0.003169267707082833;38;4.0;7.92;0.13331930484200652;4.740541911830065;10
8;8;2500;9900;0.003169267707082833;40;4.0;7.92;0.14062930288926;4.5683996487342675;9
9;9;2500;9900;0.003169267707082833;41;4.0;7.92;0.12974402406951843;4.468855834253838;8
10;10;2500;9900;0.003169267707082833;48;4.0;7.92;0.1220394115213246;4.40757553479332;8
11;11;2500;9900;0.003169267707082833;49;4.0;7.92;0.10828828400500606;4.3633481248524895;8
12;12;2500;9900;0.003169267707082833;51;4.0;7.92;0.10717216093639534;4.358903839471994;7
13;13;2500;9900;0.003169267707082833;40;4.0;7.92;0.11410395351982376;4.349764080052879;7
14;14;2500;9900;0.003169267707082833;38;4.0;7.92;0.11020350437907125;4.352835524771234;7
15;15;2500;9900;0.003169267707082833;36;4.0;7.92;0.12248362841972825;4.359051950510199;7
16;16;2500;9900;0.003169267707082833;36;4.0;7.92;0.11207367627560132;4.361546883258606;7
17;17;2500;9900;0.003169267707082833;37;4.0;7.92;0.10326001986214195;4.3719378628534225;7
18;18;2500;9900;0.003169267707082833;33;4.0;7.92;0.08449413307366048;4.374148600447154;7
19;19;2500;9900;0.003169267707082833;27;4.0;7.92;0.0803189778847964;4.379574569207395;7
20;20;2500;9900;0.003169267707082833;28;4.0;7.92;0.09221373585040334;4.393056273823473;7
21;21;2500;9900;0.003169267707082833;28;4.0;7.92;0.0762406417571463;4.407868690790295;7
22;22;2500;9900;0.003169267707082833;23;4.0;7.92;0.08567570000211977;4.4161762811394745;7
23;23;2500;9900;0.003169267707082833;22;4.0;7.92;0.08136741761354405;4.417771769433086;7
24;24;2500;9900;0.003169267707082833;22;4.0;7.92;0.06423785886443197;4.435189077095564;7
25;25;2500;9900;0.003169267707082833;21;4.0;7.92;0.057191999690739126;4.443572593499625;7
26;26;2500;9900;0.003169267707082833;22;4.0;7.92;0.06129377414351422;4.4421406767892675;7
27;27;2500;9900;0.003169267707082833;25;4.0;7.92;0.06726249241139269;4.435812947509618;7
28;28;2500;9900;0.003169267707082833;23;4.0;7.92;0.0653522511891148;4.444958924905689;7
29;29;2500;9900;0.003169267707082833;20;4.0;7.92;0.056079305998979145;4.455483868392183;7
30;30;2500;9900;0.003169267707082833;19;4.0;7.92;0.0525967626504953;4.450293051495643;7
