;ciclo;nodes;edges;density;max_deg;min_deg;avg_deg;assortativity;avpl;diameter
0;0;2500;4900;0.001568627450980392;4;2.0;3.92;0.6504952980919219;29.09197000336286;98
1;1;2500;9680;0.0030988395358143256;12;4.0;7.742;0.2619960325261063;11.908697424574399;35
2;2;2500;9889;0.0031657462985194076;15;4.0;7.91;0.16624626551788094;8.853900526664356;24
3;3;2500;9899;0.0031689475790316127;19;4.0;7.918;0.12441487886527663;7.141614112851457;18
4;4;2500;9900;0.003169267707082833;21;4.0;7.92;0.12342320528546541;6.05630748415566;14
5;5;2500;9900;0.003169267707082833;29;4.0;7.92;0.12076226796223086;5.442250833777034;12
6;6;2500;9900;0.003169267707082833;35;4.0;7.92;0.13237612344356747;5.003499262697333;10
7;7;2500;9900;0.003169267707082833;41;4.0;7.92;0.1275126600139106;4.7604087627205605;9
8;8;2500;9900;0.003169267707082833;39;4.0;7.92;0.1254820158239385;4.584342859408114;9
9;9;2500;9900;0.003169267707082833;35;4.0;7.92;0.13873353579673128;4.473595823961306;8
10;10;2500;9900;0.003169267707082833;37;4.0;7.92;0.1356394302387838;4.407706924363009;7
11;11;2500;9900;0.003169267707082833;38;4.0;7.92;0.13323269983847308;4.3767631735662516;7
12;12;2500;9900;0.003169267707082833;35;4.0;7.92;0.13765403207037302;4.348388068267434;7
13;13;2500;9900;0.003169267707082833;37;4.0;7.92;0.12011060193947894;4.34921640147076;7
14;14;2500;9900;0.003169267707082833;36;4.0;7.92;0.111605377117343;4.3415401858961875;7
15;15;2500;9900;0.003169267707082833;38;4.0;7.92;0.11324679848253262;4.339835311485194;7
16;16;2500;9900;0.003169267707082833;36;4.0;7.92;0.1126288174650581;4.350845660002803;7
17;17;2500;9900;0.003169267707082833;35;4.0;7.92;0.09138394965548223;4.350829828835372;7
18;18;2500;9900;0.003169267707082833;38;4.0;7.92;0.07723196926458101;4.348835668819938;7
19;19;2500;9900;0.003169267707082833;40;4.0;7.92;0.0824413113101935;4.37198315333084;7
20;20;2500;9900;0.003169267707082833;31;4.0;7.92;0.08701514280882455;4.394825180356792;7
21;21;2500;9900;0.003169267707082833;32;4.0;7.92;0.07706990832537548;4.400196710219379;7
22;22;2500;9900;0.003169267707082833;36;4.0;7.92;0.08284650936825062;4.400081208144426;7
23;23;2500;9900;0.003169267707082833;29;4.0;7.92;0.08061721779444657;4.4101761247624545;7
24;24;2500;9900;0.003169267707082833;26;4.0;7.92;0.08256200000124003;4.420390938328787;7
25;25;2500;9900;0.003169267707082833;24;4.0;7.92;0.08557695328573249;4.425405424681854;7
26;26;2500;9900;0.003169267707082833;21;4.0;7.92;0.08082745701343173;4.44375842837703;7
27;27;2500;9900;0.003169267707082833;24;4.0;7.92;0.07059655585721762;4.4509996970074805;7
28;28;2500;9900;0.003169267707082833;26;4.0;7.92;0.06742257295867057;4.4575344472953065;7
29;29;2500;9900;0.003169267707082833;25;4.0;7.92;0.07447965935680345;4.458497274720191;7
30;30;2500;9900;0.003169267707082833;24;4.0;7.92;0.06917952829200265;4.457156879209261;7
