;ciclos;avg_degree;avg_clustering_coefficient
0;0;3.92;0.0
1;1;7.867;0.2922
2;2;7.902;0.2715
3;3;7.906;0.263
4;4;7.91;0.2544
5;5;7.914;0.2478
6;6;7.914;0.2437
7;7;7.914;0.2405
8;8;7.914;0.2382
9;9;7.914;0.2358
10;10;7.914;0.2325
11;11;7.918;0.2306
12;12;7.918;0.2283
13;13;7.918;0.227
14;14;7.918;0.2253
15;15;7.918;0.223
16;16;7.918;0.2217
17;17;7.918;0.2202
18;18;7.918;0.2184
19;19;7.918;0.217
20;20;7.918;0.216
21;21;7.918;0.2148
22;22;7.918;0.2145
23;23;7.918;0.2134
24;24;7.918;0.2125
25;25;7.918;0.212
26;26;7.918;0.211
27;27;7.918;0.2102
28;28;7.918;0.2097
29;29;7.918;0.209
30;30;7.918;0.2084
