;ciclos;avg_degree;avg_clustering_coefficient
0;0;3.92;0.0
1;1;7.875;0.2927
2;2;7.9;0.2722
3;3;7.906;0.2625
4;4;7.91;0.2554
5;5;7.914;0.2494
6;6;7.914;0.2452
7;7;7.918;0.2407
8;8;7.918;0.2378
9;9;7.918;0.2344
10;10;7.918;0.232
11;11;7.918;0.2296
12;12;7.918;0.2281
13;13;7.918;0.2268
14;14;7.918;0.2245
15;15;7.918;0.2233
16;16;7.918;0.2214
17;17;7.918;0.2197
18;18;7.918;0.2185
19;19;7.918;0.2172
20;20;7.918;0.2158
21;21;7.918;0.2146
22;22;7.918;0.2134
23;23;7.918;0.2122
24;24;7.918;0.2119
25;25;7.918;0.211
26;26;7.918;0.2097
27;27;7.918;0.2087
28;28;7.918;0.2078
29;29;7.918;0.2069
30;30;7.918;0.2069
