;ciclo;nodes;edges;density;max_deg;min_deg;avg_deg;assortativity;avpl;diameter
0;0;2500;4900;0.001568627450980392;4;2.0;3.92;0.6504952980919219;29.09197000336286;98
1;1;2500;9654;0.003090516206482593;13;4.0;7.723;0.24558476698422588;12.093087421878284;35
2;2;2500;9881;0.003163185274109644;14;4.0;7.906;0.16324574404731748;9.186052442688235;25
3;3;2500;9900;0.003169267707082833;16;4.0;7.92;0.1518467912823985;7.333499588843916;18
4;4;2500;9900;0.003169267707082833;20;4.0;7.92;0.14925794613346433;6.33240483823473;15
5;5;2500;9900;0.003169267707082833;20;4.0;7.92;0.152831276132034;5.650802766270959;13
6;6;2500;9900;0.003169267707082833;24;4.0;7.92;0.15573368657966588;5.233101793809913;11
7;7;2500;9900;0.003169267707082833;28;4.0;7.92;0.17080394382422417;5.000970925641011;10
8;8;2500;9900;0.003169267707082833;32;4.0;7.92;0.18257439794411454;4.857927054454755;10
9;9;2500;9900;0.003169267707082833;33;4.0;7.92;0.17831716137009573;4.744507112565704;9
10;10;2500;9900;0.003169267707082833;31;4.0;7.92;0.1700595317355224;4.694985276501887;9
11;11;2500;9900;0.003169267707082833;31;4.0;7.92;0.16215299498299157;4.646929213940353;9
12;12;2500;9900;0.003169267707082833;31;4.0;7.92;0.15711859211777598;4.599153169677807;9
13;13;2500;9900;0.003169267707082833;30;4.0;7.92;0.15114772555507708;4.58304328929958;9
14;14;2500;9900;0.003169267707082833;28;4.0;7.92;0.15454549451409738;4.566399783269312;9
15;15;2500;9900;0.003169267707082833;29;4.0;7.92;0.1514395707671637;4.548530790372938;8
16;16;2500;9900;0.003169267707082833;30;4.0;7.92;0.15398540134717237;4.524354008709154;8
17;17;2500;9900;0.003169267707082833;32;4.0;7.92;0.14158588885262174;4.5211468769543846;8
18;18;2500;9900;0.003169267707082833;33;4.0;7.92;0.1369743335296023;4.524238216463162;8
19;19;2500;9900;0.003169267707082833;35;4.0;7.92;0.14394018966678251;4.513485726956171;8
20;20;2500;9900;0.003169267707082833;36;4.0;7.92;0.14103112838935117;4.5155418147861415;8
21;21;2500;9900;0.003169267707082833;30;4.0;7.92;0.15647806196953185;4.508067882616182;8
22;22;2500;9900;0.003169267707082833;30;4.0;7.92;0.1483981462117852;4.508481251336873;8
23;23;2500;9900;0.003169267707082833;33;4.0;7.92;0.14722388078300122;4.513650669362651;8
24;24;2500;9900;0.003169267707082833;33;4.0;7.92;0.1434042837420446;4.516060806563409;8
25;25;2500;9900;0.003169267707082833;33;4.0;7.92;0.13392342909394683;4.5061267647221905;8
26;26;2500;9900;0.003169267707082833;33;4.0;7.92;0.13981900455791335;4.5143165306098325;8
27;27;2500;9900;0.003169267707082833;37;4.0;7.92;0.13327232475132467;4.516254452975515;8
28;28;2500;9900;0.003169267707082833;36;4.0;7.92;0.1346036202316336;4.519737311938059;8
29;29;2500;9900;0.003169267707082833;36;4.0;7.92;0.131585747458222;4.5151775357015955;8
30;30;2500;9900;0.003169267707082833;34;4.0;7.92;0.123517487385749;4.518033528871044;8
