;ciclo;nodes;edges;density;max_deg;min_deg;avg_deg;assortativity;avpl;diameter
0;0;2500;4900;0.001568627450980392;4;2.0;3.92;0.6504952980919215;29.092465434324986;98
1;1;2500;9840;0.003150060024009604;11;4.0;7.87;0.4503481913064828;12.412456991047309;34
2;2;2500;9898;0.003168627450980392;18;4.0;7.918;0.24894526598290856;9.220942012214234;22
3;3;2500;9900;0.003169267707082833;24;4.0;7.92;0.14589463899059188;8.194745119372355;20
4;4;2500;9900;0.003169267707082833;25;4.0;7.92;0.11152316951125509;7.524549683721488;18
5;5;2500;9900;0.003169267707082833;29;4.0;7.92;0.09455037119323707;7.108703732622514;16
6;6;2500;9900;0.003169267707082833;33;4.0;7.92;0.08685972941826824;6.733984144600277;15
7;7;2500;9900;0.003169267707082833;33;4.0;7.92;0.08167759193532988;6.426017502182152;14
8;8;2500;9900;0.003169267707082833;33;4.0;7.92;0.08708956000388253;6.222611949151064;13
9;9;2500;9900;0.003169267707082833;34;4.0;7.92;0.09782844777974696;6.077496085752944;13
10;10;2500;9900;0.003169267707082833;34;4.0;7.92;0.10351413853983442;5.977144139634698;13
11;11;2500;9900;0.003169267707082833;34;4.0;7.92;0.11391320531889518;5.845504285980128;13
12;12;2500;9900;0.003169267707082833;35;4.0;7.92;0.11698591829277488;5.7704051554919795;12
13;13;2500;9900;0.003169267707082833;37;4.0;7.92;0.1185994969295141;5.659777102540895;12
14;14;2500;9900;0.003169267707082833;37;4.0;7.92;0.11997438109496697;5.604926941358761;12
15;15;2500;9900;0.003169267707082833;37;4.0;7.92;0.12121891990191451;5.548545854048123;11
16;16;2500;9900;0.003169267707082833;38;4.0;7.92;0.1260035888439104;5.491084285925915;11
17;17;2500;9900;0.003169267707082833;38;4.0;7.92;0.12779045089580643;5.446632792203406;11
18;18;2500;9900;0.003169267707082833;39;4.0;7.92;0.13295850226275505;5.399544688246758;11
19;19;2500;9900;0.003169267707082833;39;4.0;7.92;0.1342245975192232;5.3707202627715915;11
20;20;2500;9900;0.003169267707082833;39;4.0;7.92;0.1320395272620889;5.344727181146683;11
21;21;2500;9900;0.003169267707082833;39;4.0;7.92;0.13684842499571243;5.299528770581407;10
22;22;2500;9900;0.003169267707082833;39;4.0;7.92;0.14138836145033798;5.266988456461709;10
23;23;2500;9900;0.003169267707082833;41;4.0;7.92;0.1410165483838685;5.2320157454888205;11
24;24;2500;9900;0.003169267707082833;41;4.0;7.92;0.1390284635424822;5.2182459018346945;10
25;25;2500;9900;0.003169267707082833;42;4.0;7.92;0.13510979399799913;5.195477601025027;10
26;26;2500;9900;0.003169267707082833;42;4.0;7.92;0.13706815369997832;5.173083425297548;10
27;27;2500;9900;0.003169267707082833;42;4.0;7.92;0.13528373987578915;5.152944236619181;10
28;28;2500;9900;0.003169267707082833;42;4.0;7.92;0.13779474789065171;5.151333253346634;10
29;29;2500;9900;0.003169267707082833;42;4.0;7.92;0.13819029220597312;5.134942876396361;10
30;30;2500;9900;0.003169267707082833;42;4.0;7.92;0.134499353192562;5.117256473154089;10
