;ciclos;avg_degree;avg_clustering_coefficient
0;0;3.92;0.0
1;1;7.883;0.2913
2;2;7.906;0.2717
3;3;7.91;0.262
4;4;7.91;0.256
5;5;7.914;0.2507
6;6;7.914;0.2476
7;7;7.918;0.2438
8;8;7.918;0.2404
9;9;7.918;0.2367
10;10;7.918;0.2341
11;11;7.918;0.2312
12;12;7.918;0.2292
13;13;7.918;0.2278
14;14;7.918;0.2253
15;15;7.92;0.2235
16;16;7.92;0.2218
17;17;7.92;0.2206
18;18;7.92;0.2191
19;19;7.92;0.2183
20;20;7.92;0.2177
21;21;7.92;0.2163
22;22;7.92;0.2151
23;23;7.92;0.2141
24;24;7.92;0.2133
25;25;7.92;0.2119
26;26;7.92;0.2112
27;27;7.92;0.2104
28;28;7.92;0.21
29;29;7.92;0.2095
30;30;7.92;0.2084
