#n_nodes,m_edges,aspl,diameter,acluster,assort,n_conn,n_comp,o_largestc
2500,9899,10.892478,27,0.208420,0.203366,4,1,2500
2475,9701,10.962054,27,0.208847,0.200326,4,1,2475
2450,9497,11.003825,27,0.209353,0.198824,3,1,2450
2425,9305,11.040089,27,0.209372,0.208455,3,1,2425
2400,9138,11.038043,27,0.209484,0.209852,3,1,2400
2375,8949,11.068134,27,0.209010,0.221115,3,1,2375
2350,8769,11.099495,27,0.209416,0.223472,3,1,2350
2325,8583,11.137145,27,0.209941,0.216703,3,1,2325
2300,8412,11.124922,27,0.210088,0.226970,2,1,2300
2275,8236,11.167210,27,0.209824,0.220259,2,1,2275
2250,8060,11.194918,28,0.210738,0.213402,2,1,2250
2225,7880,11.224799,29,0.210951,0.215284,2,1,2225
2200,7702,11.243660,29,0.210583,0.209997,2,1,2200
2175,7525,11.275037,29,0.209678,0.208373,2,1,2175
2150,7348,11.306273,29,0.208776,0.216961,2,1,2150
2125,7180,11.333424,29,0.208676,0.215428,2,1,2125
2100,6994,11.413823,29,0.208344,0.217859,2,1,2100
2075,6822,11.439151,29,0.208424,0.215341,2,1,2075
2050,6659,11.520571,29,0.208675,0.208041,2,1,2050
2025,6501,11.567875,29,0.210134,0.214459,2,1,2025
2000,6339,11.623658,29,0.211293,0.213765,1,1,2000
1975,6184,11.662238,29,0.212611,0.218622,1,1,1975
1950,6031,11.745182,30,0.213476,0.208001,1,1,1950
1925,5879,11.782413,30,0.213536,0.201518,1,1,1925
1900,5723,11.822945,30,0.214325,0.203105,1,1,1900
1875,5569,11.854456,30,0.214828,0.209034,1,1,1875
1850,5408,11.902325,30,0.213779,0.197271,1,1,1850
1825,5266,11.925863,30,0.212789,0.203494,1,1,1825
1800,5119,11.976547,30,0.213385,0.201028,1,1,1800
1775,4975,11.998412,30,0.213118,0.193734,1,1,1775
1750,4830,12.069371,30,0.213395,0.189600,1,1,1750
1725,4684,12.149027,30,0.213439,0.187939,1,1,1725
1700,4547,12.214886,30,0.213598,0.183684,1,1,1700
1675,4410,12.333967,30,0.212107,0.183821,1,1,1675
1650,4269,12.408175,30,0.210866,0.190103,1,1,1650
1625,4133,12.653556,31,0.211258,0.191598,1,1,1625
1600,4023,12.649772,31,0.214136,0.194495,1,1,1600
1575,3914,12.691632,31,0.213557,0.191453,1,2,1574
1550,3792,12.754454,31,0.211195,0.194628,1,2,1549
1525,3675,12.883156,31,0.211160,0.192491,1,3,1523
1500,3562,13.024577,31,0.211777,0.194637,1,3,1498
1475,3438,13.210562,31,0.212532,0.191967,1,3,1473
1450,3315,13.358897,32,0.214489,0.194149,1,4,1447
1425,3212,13.536053,32,0.214878,0.212736,1,5,1421
1400,3096,13.662635,32,0.213518,0.211906,1,5,1396
1375,2978,13.802853,32,0.213704,0.194758,1,5,1371
1350,2876,13.987901,34,0.213698,0.200495,1,5,1346
1325,2762,14.030378,34,0.211501,0.180086,1,5,1321
1300,2659,14.246291,34,0.213588,0.171723,1,6,1294
1275,2566,14.352579,34,0.213780,0.176155,1,6,1269
1250,2455,14.593998,34,0.212530,0.169143,1,7,1243
1225,2355,14.865193,35,0.211339,0.177304,1,9,1215
1200,2258,15.133480,35,0.210175,0.179680,1,11,1188
