enlace,experimento,secuencia,pci,pcm,pcf
1,1,1,36,43,46
1,2,1,36,42,50
1,3,1,35,44,51
1,4,1,35,45,50
1,5,1,35,45,50
1,6,1,34,42,52
1,7,1,36,43,51
1,8,1,36,44,51
1,9,1,36,42,50
1,10,1,36,41,51
2,1,1,34,42,51
2,2,1,34,40,50
2,3,1,35,44,50
2,4,1,33,43,51
2,5,1,35,42,52
2,6,1,35,40,50
2,7,1,35,45,51
2,8,1,35,39,51
2,9,1,36,43,50
2,10,1,35,43,51
4,1,1,39,42,47
4,2,1,38,46,52
4,3,1,38,42,52
4,4,1,39,43,51
4,5,1,39,45,51
4,6,1,39,43,51
4,7,1,39,46,52
4,8,1,39,45,50
4,9,1,39,45,52
4,10,1,38,43,53
8,1,1,43,46,54
8,2,1,43,47,55
8,3,1,42,46,54
8,4,1,42,46,55
8,5,1,42,46,54
8,6,1,42,46,55
8,7,1,43,46,54
8,8,1,43,48,55
8,9,1,42,46,54
8,10,1,43,46,55
16,1,1,45,49,56
16,2,1,44,50,56
16,3,1,45,48,52
16,4,1,45,48,56
16,5,1,45,48,56
16,6,1,45,48,56
16,7,1,45,49,51
16,8,1,45,48,55
16,9,1,44,49,56
16,10,1,44,48,52
32,1,1,40,45,55
32,2,1,41,49,55
32,3,1,42,46,56
32,4,1,40,44,54
32,5,1,43,46,54
32,6,1,40,50,55
32,7,1,42,47,55
32,8,1,41,44,56
32,9,1,41,46,53
32,10,1,44,44,55
