enlace,experimento,secuencia,pci,pcm,pcf,enlace,pci_prom,pcm_prom,pcf_prom
2,10,3,67,80,89,,,,
2,10,4,65,76,84,,,,
2,10,5,67,82,89,,,,
2,10,6,63,80,87,,,,
2,10,7,65,81,89,,,,
2,10,8,65,79,87,,,,
2,10,9,68,78,85,,,,
2,10,10,64,78,85,,,,
4,1,1,67,77,82,,,,
4,1,2,69,81,89,,,,
4,1,3,67,77,88,,,,
4,1,4,66,80,90,,,,
4,1,5,65,75,86,,,,
4,1,6,64,78,89,,,,
4,1,7,69,79,92,,,,
4,1,8,65,75,81,,,,
4,1,9,67,78,87,,,,
4,1,10,66,77,84,,,,
4,2,1,64,78,85,,,,
4,2,2,67,80,85,,,,
4,2,3,67,79,87,,,,
4,2,4,68,79,84,,,,
4,2,5,68,81,92,,,,
4,2,6,66,79,89,,,,
4,2,7,66,81,89,,,,
4,2,8,65,75,87,,,,
4,2,9,66,79,85,,,,
4,2,10,67,79,87,,,,
4,3,1,68,78,83,,,,
4,3,2,67,75,85,,,,
4,3,3,68,82,85,,,,
4,3,4,68,80,84,,,,
4,3,5,63,81,88,,,,
4,3,6,66,79,83,,,,
4,3,7,65,76,85,,,,
4,3,8,66,80,90,,,,
4,3,9,67,78,88,,,,
4,3,10,64,76,88,,,,
4,4,1,66,79,87,,,,
4,4,2,67,75,82,,,,
4,4,3,65,75,86,,,,
4,4,4,65,81,89,,,,
4,4,5,67,77,85,,,,
4,4,6,66,80,86,,,,
4,4,7,68,79,90,,,,
4,4,8,66,81,88,,,,
4,4,9,67,77,85,,,,
4,4,10,67,81,91,,,,
4,5,1,66,75,85,,,,
4,5,2,64,78,84,,,,
4,5,3,69,81,85,,,,
4,5,4,65,78,84,,,,
4,5,5,65,75,88,,,,
4,5,6,65,76,86,,,,
4,5,7,68,76,89,,,,
4,5,8,67,76,80,,,,
4,5,9,65,80,88,,,,
4,5,10,67,77,84,,,,
4,6,1,65,82,89,,,,
4,6,2,67,78,88,,,,
4,6,3,68,77,86,,,,
4,6,4,65,77,86,,,,
4,6,5,66,81,92,,,,
4,6,6,68,78,87,,,,
4,6,7,67,76,83,,,,
4,6,8,67,76,83,,,,
4,6,9,66,80,90,,,,
4,6,10,67,78,86,,,,
4,7,1,64,80,85,,,,
4,7,2,66,81,90,,,,
4,7,3,66,79,88,,,,
4,7,4,65,73,87,,,,
4,7,5,67,73,81,,,,
4,7,6,67,79,86,,,,
4,7,7,69,81,94,,,,
4,7,8,67,77,91,,,,
4,7,9,67,77,87,,,,
4,7,10,67,77,85,,,,
4,8,1,67,80,84,,,,
4,8,2,66,81,86,,,,
4,8,3,67,78,89,,,,
4,8,4,67,78,81,,,,
4,8,5,68,81,85,,,,
4,8,6,64,76,84,,,,
4,8,7,65,79,87,,,,
4,8,8,66,82,89,,,,
4,8,9,65,78,82,,,,
4,8,10,66,79,92,,,,
4,9,1,64,80,91,,,,
4,9,2,67,80,91,,,,
4,9,3,64,80,84,,,,
4,9,4,66,77,82,,,,
4,9,5,67,79,86,,,,
4,9,6,65,77,81,,,,
4,9,7,69,81,88,,,,
4,9,8,64,80,86,,,,
4,9,9,65,80,84,,,,
4,9,10,64,77,86,,,,
4,10,1,67,74,86,,,,
4,10,2,66,83,88,,,,
4,10,3,65,77,85,,,,
4,10,4,66,78,83,,,,
4,10,5,66,77,85,,,,
4,10,6,67,79,86,,,,
4,10,7,63,79,86,,,,
4,10,8,66,78,84,,,,
4,10,9,65,76,83,,,,
4,10,10,68,80,85,,,,
8,1,1,65,76,83,,,,
8,1,2,63,77,89,,,,
8,1,3,68,75,90,,,,
8,1,4,69,76,85,,,,
8,1,5,66,73,84,,,,
8,1,6,66,77,82,,,,
8,1,7,68,76,83,,,,
8,1,8,66,74,80,,,,
8,1,9,66,75,84,,,,
8,1,10,69,79,85,,,,
8,2,1,67,80,85,,,,
8,2,2,68,74,86,,,,
8,2,3,65,72,82,,,,
8,2,4,68,76,83,,,,
8,2,5,66,77,84,,,,
8,2,6,65,76,85,,,,
8,2,7,66,74,85,,,,
8,2,8,67,75,82,,,,
8,2,9,67,76,84,,,,
8,2,10,65,72,85,,,,
8,3,1,65,76,86,,,,
8,3,2,66,72,80,,,,
8,3,3,64,78,83,,,,
8,3,4,65,75,82,,,,
8,3,5,65,74,82,,,,
8,3,6,66,75,87,,,,
8,3,7,66,75,82,,,,
8,3,8,67,72,79,,,,
8,3,9,68,75,81,,,,
8,3,10,69,78,84,,,,
8,4,1,66,75,81,,,,
8,4,2,65,73,83,,,,
8,4,3,67,76,88,,,,
8,4,4,68,76,80,,,,
8,4,5,69,77,83,,,,
8,4,6,67,75,77,,,,
8,4,7,67,71,80,,,,
8,4,8,65,74,87,,,,
8,4,9,70,76,83,,,,
8,4,10,65,74,84,,,,
8,5,1,67,76,82,,,,
8,5,2,69,78,85,,,,
8,5,3,68,75,82,,,,
8,5,4,67,76,85,,,,
8,5,5,67,79,84,,,,
8,5,6,68,76,81,,,,
8,5,7,64,77,86,,,,
8,5,8,67,76,81,,,,
8,5,9,66,79,82,,,,
8,5,10,64,75,85,,,,
8,6,1,67,76,81,,,,
8,6,2,68,78,85,,,,
8,6,3,66,75,88,,,,
8,6,4,68,77,83,,,,
8,6,5,67,75,84,,,,
8,6,6,65,74,88,,,,
8,6,7,68,77,86,,,,
8,6,8,69,74,80,,,,
8,6,9,64,71,83,,,,
8,6,10,67,74,80,,,,
8,7,1,65,76,85,,,,
8,7,2,66,77,81,,,,
8,7,3,67,74,82,,,,
8,7,4,65,77,85,,,,
8,7,5,67,75,84,,,,
8,7,6,70,77,84,,,,
8,7,7,69,74,84,,,,
8,7,8,67,75,86,,,,
8,7,9,66,74,81,,,,
8,7,10,66,75,83,,,,
8,8,1,68,77,84,,,,
8,8,2,68,75,83,,,,
8,8,3,66,75,83,,,,
8,8,4,67,73,84,,,,
8,8,5,67,76,82,,,,
8,8,6,66,73,83,,,,
8,8,7,67,75,83,,,,
8,8,8,66,71,81,,,,
8,8,9,65,76,82,,,,
8,8,10,69,78,86,,,,
8,9,1,67,78,82,,,,
8,9,2,67,77,83,,,,
8,9,3,66,76,83,,,,
8,9,4,65,69,85,,,,
8,9,5,65,76,85,,,,
8,9,6,66,74,88,,,,
8,9,7,65,77,81,,,,
8,9,8,66,74,85,,,,
8,9,9,66,78,85,,,,
8,9,10,68,77,86,,,,
8,10,1,69,75,84,,,,
8,10,2,64,75,84,,,,
8,10,3,69,76,82,,,,
8,10,4,68,77,86,,,,
8,10,5,68,79,83,,,,
8,10,6,70,71,85,,,,
8,10,7,64,77,80,,,,
8,10,8,67,75,83,,,,
8,10,9,66,77,83,,,,
8,10,10,66,74,82,,,,
16,1,1,64,71,79,,,,
16,1,2,65,72,77,,,,
16,1,3,65,73,80,,,,
16,1,4,68,73,81,,,,
16,1,5,64,69,85,,,,
16,1,6,63,71,80,,,,
16,1,7,66,74,82,,,,
16,1,8,64,72,82,,,,
16,1,9,64,68,79,,,,
16,1,10,63,73,86,,,,
16,2,1,66,73,82,,,,
16,2,2,62,71,77,,,,
16,2,3,62,68,83,,,,
16,2,4,66,70,78,,,,
16,2,5,64,67,76,,,,
16,2,6,63,72,78,,,,
16,2,7,64,71,78,,,,
16,2,8,62,69,79,,,,
16,2,9,63,69,82,,,,
16,2,10,64,70,85,,,,
16,3,1,61,72,79,,,,
16,3,2,59,68,82,,,,
16,3,3,67,69,78,,,,
16,3,4,65,73,80,,,,
16,3,5,63,71,81,,,,
16,3,6,64,70,81,,,,
16,3,7,65,71,79,,,,
16,3,8,60,70,77,,,,
16,3,9,64,72,78,,,,
16,3,10,65,70,77,,,,
16,4,1,65,72,82,,,,
16,4,2,66,70,75,,,,
16,4,3,64,72,78,,,,
16,4,4,66,68,82,,,,
16,4,5,64,74,79,,,,
16,4,6,62,71,80,,,,
16,4,7,60,69,78,,,,
16,4,8,64,64,85,,,,
16,4,9,63,72,80,,,,
16,4,10,66,68,83,,,,
16,5,1,61,72,80,,,,
16,5,2,63,71,76,,,,
16,5,3,67,71,81,,,,
16,5,4,61,65,79,,,,
16,5,5,66,74,80,,,,
16,5,6,62,74,77,,,,
16,5,7,66,76,85,,,,
16,5,8,62,75,82,,,,
16,5,9,63,69,79,,,,
16,5,10,64,69,80,,,,
16,6,1,64,69,81,,,,
16,6,2,64,69,81,,,,
16,6,3,63,71,85,,,,
16,6,4,62,74,79,,,,
16,6,5,64,69,80,,,,
16,6,6,66,73,79,,,,
16,6,7,65,69,80,,,,
16,6,8,66,70,77,,,,
16,6,9,66,72,79,,,,
16,6,10,64,70,80,,,,
16,7,1,63,68,81,,,,
16,7,2,62,70,83,,,,
16,7,3,65,71,78,,,,
16,7,4,59,69,76,,,,
16,7,5,64,71,80,,,,
16,7,6,62,73,80,,,,
16,7,7,64,73,82,,,,
16,7,8,66,70,80,,,,
16,7,9,65,71,89,,,,
16,7,10,64,70,77,,,,
16,8,1,61,70,81,,,,
16,8,2,64,69,79,,,,
16,8,3,62,73,85,,,,
16,8,4,62,71,86,,,,
16,8,5,62,71,81,,,,
16,8,6,67,71,83,,,,
16,8,7,64,75,81,,,,
