,num_nodes,fc,clusters,attr
0,2500,1.0,[2500],1.0
1,2475,0.99,[2475],1.0
2,2450,0.98,[2450],1.0
3,2425,0.97,[2425],1.0
4,2400,0.96,[2400],1.0
5,2375,0.95,[2375],1.0
6,2350,0.94,[2350],1.0
7,2325,0.93,[2325],1.0
8,2300,0.92,[2300],1.0
9,2275,0.91,[2275],1.0
10,2250,0.9,[2250],1.0
11,2225,0.89,[2225],1.0
12,2200,0.88,[2200],1.0
13,2175,0.87,[2175],1.0
14,2150,0.86,[2150],1.0
15,2125,0.85,[2125],1.0
16,2100,0.84,[2100],1.0
17,2075,0.83,[2075],1.0
18,2050,0.82,[2050],1.0
19,2025,0.81,"[2024, 1]",0.9990123456790123
20,2000,0.8,"[1999, 1]",0.999
21,1975,0.79,"[1974, 1]",0.9989873417721519
22,1950,0.78,"[1949, 1]",0.9989743589743589
23,1925,0.77,"[1924, 1]",0.9989610389610389
24,1900,0.76,"[1899, 1]",0.9989473684210526
25,1875,0.75,"[1874, 1]",0.9989333333333333
26,1850,0.74,"[1849, 1]",0.9989189189189189
27,1825,0.73,"[1824, 1]",0.9989041095890411
28,1800,0.72,"[1799, 1]",0.9988888888888889
29,1775,0.71,"[1774, 1]",0.9988732394366198
30,1750,0.7,"[1749, 1]",0.9988571428571429
31,1725,0.69,"[1724, 1]",0.998840579710145
32,1700,0.68,"[1699, 1]",0.9988235294117647
33,1675,0.67,"[1673, 1, 1]",0.9976126535779882
34,1650,0.66,"[1648, 1, 1]",0.9975764926401676
35,1625,0.65,"[1618, 3, 1, 1, 1, 1]",0.9914028040924593
36,1600,0.64,"[1593, 3, 1, 1, 1, 1]",0.9912687617260788
37,1575,0.63,"[1568, 3, 1, 1, 1, 1]",0.9911304733668139
38,1550,0.62,"[1543, 3, 1, 1, 1, 1]",0.9909877340219496
39,1525,0.61,"[1519, 3, 1, 1, 1]",0.9921466374080289
40,1500,0.6,"[1484, 5, 4, 3, 1, 1, 1, 1]",0.9787903046475428
41,1475,0.59,"[1461, 4, 3, 3, 1, 1, 1, 1]",0.9811116988248281
42,1450,0.58,"[1436, 4, 3, 3, 1, 1, 1, 1]",0.9807877013874016
43,1425,0.57,"[1411, 4, 3, 2, 1, 1, 1, 1, 1]",0.9804504238123398
44,1400,0.56,"[1387, 4, 2, 2, 1, 1, 1, 1, 1]",0.981516389257633
45,1375,0.55,"[1362, 4, 2, 2, 1, 1, 1, 1, 1]",0.9811819505094614
46,1350,0.54,"[1335, 4, 2, 2, 2, 1, 1, 1, 1, 1]",0.9779029733959311
47,1325,0.53,"[1310, 4, 2, 2, 2, 1, 1, 1, 1, 1]",0.9774884569343898
48,1300,0.52,"[1282, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]",0.972500740214366
49,1275,0.51,"[1229, 23, 4, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]",0.9294487025579462
50,1250,0.5,"[1206, 21, 4, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]",0.9311013610888711
51,1225,0.49,"[1178, 19, 4, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9249579831932773
52,1200,0.48,"[1145, 19, 7, 4, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9106880733944954
53,1175,0.47,"[1113, 19, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.8974953785929175
54,1150,0.46,"[1086, 13, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.8919150868430015
55,1125,0.45,"[1057, 12, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.8828722815342033
56,1100,0.44,"[1017, 12, 7, 5, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.8549375465299032
57,1075,0.43,"[974, 12, 11, 7, 5, 4, 4, 4, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.8211701528734139
58,1050,0.42,"[939, 12, 11, 7, 7, 5, 4, 4, 4, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.800041763130419
59,1025,0.41,"[908, 12, 11, 7, 7, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.7850514481707317
60,1000,0.4,"[828, 53, 12, 11, 7, 6, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.6886226226226226
61,975,0.39,"[779, 52, 11, 10, 9, 8, 7, 6, 6, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.6415542568314643
