enlace,mean_r1_pci,mean_r1_pcm,mean_r1_pcf,std_r1_pci,std_r1_pcm,std_r1_pcf,mean_r1_plus_pcf,mean_r1_minus_pci,mean_r2_pci,mean_r2_pcm,mean_r2_pcf,std_r2_pci,std_r2_pcm,std_r2_pcf,mean_r2_plus_pcf,mean_r2_minus_pci
32,0.11,0.424,0.523,0.0,0.009660917830792962,0.01828782229912694,0.09900000000000003,0.314,0.41,0.469,0.542,0.01247219128924646,0.03034981237357343,0.0042163702135578325,0.07300000000000006,0.059
16,0.11,0.447,0.514,0.0,0.00483045891539649,0.017126976771553514,0.067,0.337,0.43,0.46799999999999997,0.5379999999999999,0.004714045207910322,0.0063245553203367545,0.015491933384829673,0.06999999999999995,0.03799999999999998
8,0.11,0.43,0.49700000000000005,0.0,0.0,0.01636391694484477,0.06700000000000006,0.32,0.41,0.467,0.54,0.004714045207910325,0.01059349905471381,0.004714045207910317,0.07300000000000001,0.05700000000000005
4,0.109,0.39899999999999997,0.488,0.0031622776601683794,0.005676462121975458,0.01932183566158592,0.08900000000000002,0.29,0.41600000000000004,0.488,0.531,0.005163977794943222,0.013984117975602029,0.015951314818673866,0.04300000000000004,0.07199999999999995
2,0.10400000000000001,0.37200000000000005,0.47700000000000004,0.005163977794943222,0.012292725943057178,0.020575065816014627,0.10499999999999998,0.268,0.44,0.498,0.528,0.013333333333333332,0.01032795558988645,0.010327955589886448,0.030000000000000027,0.057999999999999996
1,0.107,0.381,0.47,0.004830458915396481,0.013703203194062976,0.022110831935702666,0.08899999999999997,0.274,0.447,0.507,0.537,0.006749485577105523,0.006749485577105519,0.011595018087284048,0.030000000000000027,0.06
