enlace,experimento,secuencia,pci,pcm,pcf
4,4,6,11,50,80
4,4,7,11,50,80
4,4,8,11,50,79
4,4,9,11,50,78
4,4,10,11,50,80
4,5,1,11,50,80
4,5,2,11,50,80
4,5,3,11,50,80
4,5,4,11,50,80
4,5,5,11,50,81
4,5,6,11,50,80
4,5,7,11,50,80
4,5,8,11,50,80
4,5,9,11,50,81
4,5,10,11,50,80
4,6,1,11,50,81
4,6,2,11,50,80
4,6,3,11,50,81
4,6,4,11,50,80
4,6,5,11,50,78
4,6,6,11,50,80
4,6,7,11,50,81
4,6,8,11,50,79
4,6,9,11,50,82
4,6,10,11,50,81
4,7,1,11,50,81
4,7,2,11,50,79
4,7,3,11,50,80
4,7,4,11,50,82
4,7,5,11,50,80
4,7,6,11,50,79
4,7,7,11,50,81
4,7,8,11,50,80
4,7,9,11,50,82
4,7,10,11,50,81
4,8,1,11,50,82
4,8,2,11,50,80
4,8,3,11,50,80
4,8,4,11,50,79
4,8,5,11,50,81
4,8,6,11,50,81
4,8,7,11,50,80
4,8,8,11,50,81
4,8,9,11,50,81
4,8,10,11,50,80
4,9,1,11,50,81
4,9,2,11,50,79
4,9,3,11,50,81
4,9,4,11,50,82
4,9,5,11,50,81
4,9,6,11,50,80
4,9,7,11,50,81
4,9,8,11,50,79
4,9,9,11,50,80
4,9,10,11,50,82
4,10,1,11,50,80
4,10,2,11,50,81
4,10,3,11,50,81
4,10,4,11,50,82
4,10,5,11,50,79
4,10,6,11,50,81
4,10,7,11,50,82
4,10,8,11,50,81
4,10,9,11,50,81
4,10,10,11,50,80
8,1,1,11,50,77
8,1,2,11,50,78
8,1,3,11,50,79
8,1,4,11,50,77
8,1,5,11,50,79
8,1,6,11,50,81
8,1,7,11,50,79
8,1,8,11,50,79
8,1,9,11,50,78
8,1,10,11,50,76
8,2,1,11,50,80
8,2,2,11,50,78
8,2,3,11,50,79
8,2,4,11,50,81
8,2,5,11,50,78
8,2,6,11,50,78
8,2,7,11,50,79
8,2,8,11,50,80
8,2,9,11,50,80
8,2,10,11,50,80
8,3,1,11,50,80
8,3,2,11,50,78
8,3,3,11,50,78
8,3,4,11,50,80
8,3,5,11,50,78
8,3,6,11,50,78
8,3,7,11,50,79
8,3,8,11,50,79
8,3,9,11,50,79
8,3,10,11,50,78
8,4,1,11,50,79
8,4,2,11,50,77
8,4,3,11,50,79
8,4,4,11,50,77
8,4,5,11,50,78
8,4,6,11,50,79
8,4,7,11,50,79
8,4,8,11,50,78
8,4,9,11,50,77
8,4,10,11,50,79
8,5,1,11,50,78
8,5,2,11,50,79
8,5,3,11,50,78
8,5,4,11,50,79
8,5,5,11,50,76
8,5,6,11,50,79
8,5,7,11,50,77
8,5,8,11,50,80
8,5,9,11,50,78
8,5,10,11,50,78
8,6,1,11,50,80
8,6,2,11,50,79
8,6,3,11,50,80
8,6,4,11,50,80
8,6,5,11,50,78
8,6,6,11,50,78
8,6,7,11,50,78
8,6,8,11,50,79
8,6,9,11,50,80
8,6,10,11,50,76
8,7,1,11,50,79
8,7,2,11,50,82
8,7,3,11,50,79
8,7,4,11,50,78
8,7,5,11,50,78
8,7,6,11,50,78
8,7,7,11,50,79
8,7,8,11,50,80
8,7,9,11,50,78
8,7,10,11,50,76
8,8,1,11,50,78
8,8,2,11,50,80
8,8,3,11,50,79
8,8,4,11,50,78
8,8,5,11,50,80
8,8,6,11,50,79
8,8,7,11,50,81
8,8,8,11,50,79
8,8,9,11,50,80
8,8,10,11,50,79
8,9,1,11,50,82
8,9,2,11,50,80
8,9,3,11,50,80
8,9,4,11,50,80
8,9,5,11,50,80
8,9,6,11,50,78
8,9,7,11,50,75
8,9,8,11,50,77
8,9,9,11,50,78
8,9,10,11,50,81
8,10,1,11,50,77
8,10,2,11,50,77
8,10,3,11,50,77
8,10,4,11,50,77
8,10,5,11,50,79
8,10,6,11,50,81
8,10,7,11,50,79
8,10,8,11,50,78
8,10,9,11,50,81
