#n_nodes,m_edges,aspl,diameter,acluster,assort,n_conn,n_comp,o_largestc
2500,9900,7.220189,16,0.144585,0.130245,4,1,2500
2475,9698,7.247916,16,0.144542,0.133768,3,1,2475
2450,9505,7.271007,16,0.145074,0.132054,3,1,2450
2425,9327,7.281244,16,0.145592,0.132710,3,1,2425
2400,9132,7.298673,16,0.144635,0.144614,3,1,2400
2375,8929,7.369038,16,0.144538,0.135104,3,1,2375
2350,8751,7.392093,16,0.144694,0.132377,3,1,2350
2325,8581,7.404174,16,0.145110,0.135632,3,1,2325
2300,8409,7.410406,16,0.145000,0.143294,3,1,2300
2275,8230,7.439507,17,0.144937,0.138495,2,1,2275
2250,8067,7.454801,17,0.145161,0.137038,2,1,2250
2225,7901,7.475550,17,0.145386,0.135511,2,1,2225
2200,7722,7.500284,17,0.144595,0.139494,2,1,2200
2175,7540,7.516104,17,0.143980,0.144881,2,1,2175
2150,7379,7.526418,17,0.145032,0.150207,1,1,2150
2125,7223,7.541348,17,0.145490,0.153252,1,1,2125
2100,7052,7.561405,17,0.145239,0.147467,1,1,2100
2075,6890,7.585189,17,0.144912,0.142966,1,1,2075
2050,6724,7.625303,17,0.145290,0.134796,1,1,2050
2025,6558,7.668731,17,0.144847,0.141755,1,1,2025
2000,6405,7.691838,17,0.145354,0.139316,1,1,2000
1975,6256,7.713158,17,0.145888,0.129359,1,1,1975
1950,6111,7.742496,17,0.146284,0.124836,1,1,1950
1925,5959,7.775946,17,0.146823,0.127908,1,1,1925
1900,5797,7.832804,17,0.145520,0.124886,1,1,1900
1875,5651,7.854206,17,0.144823,0.115446,1,2,1874
1850,5505,7.867138,17,0.144076,0.117704,1,2,1849
1825,5354,7.900783,17,0.144065,0.116224,1,2,1824
1800,5215,7.919381,17,0.143797,0.116102,1,3,1798
1775,5073,7.956369,17,0.143093,0.112556,1,3,1773
1750,4920,8.112046,18,0.143755,0.100465,1,3,1748
1725,4795,8.138180,18,0.145769,0.104281,1,3,1723
1700,4650,8.188943,18,0.145480,0.101093,1,3,1698
1675,4498,8.304852,18,0.144756,0.096760,1,3,1673
1650,4372,8.337103,18,0.144431,0.108726,1,3,1648
1625,4240,8.360671,18,0.144913,0.110751,1,3,1623
1600,4111,8.379644,19,0.144420,0.111794,1,4,1597
1575,3989,8.431580,19,0.144143,0.115327,1,5,1571
1550,3860,8.514371,19,0.145278,0.110866,1,5,1546
1525,3726,8.603278,19,0.145968,0.111353,1,5,1521
1500,3604,8.638683,20,0.147185,0.117979,1,5,1496
1475,3479,8.714843,20,0.145342,0.116188,1,5,1471
1450,3367,8.748292,20,0.143957,0.117961,1,5,1446
1425,3248,8.772390,20,0.146807,0.118440,1,6,1420
1400,3149,8.828389,20,0.146539,0.123020,1,6,1395
1375,3056,8.880421,20,0.146838,0.124468,1,6,1370
1350,2943,9.076267,21,0.147555,0.111384,1,7,1344
1325,2825,9.275009,21,0.148636,0.111421,1,9,1317
1300,2719,9.385395,21,0.147851,0.106779,1,9,1292
1275,2620,9.464434,21,0.148459,0.116978,1,10,1266
1250,2521,9.652870,22,0.149803,0.109553,1,11,1240
1225,2407,9.946015,22,0.148605,0.094321,1,15,1209
1200,2309,10.134205,23,0.149339,0.091017,1,17,1182
1175,2216,10.383735,23,0.149940,0.087191,1,16,1158
1150,2112,10.699106,23,0.146519,0.116450,1,18,1131
1125,2011,10.982663,25,0.149640,0.114929,1,19,1105
1100,1908,11.498403,25,0.145224,0.125002,1,20,1079
1075,1825,11.608235,26,0.143324,0.132201,1,21,1053
1050,1736,12.170029,26,0.142924,0.119533,1,27,1019
1025,1643,12.254864,30,0.139501,0.129320,1,32,990
1000,1576,12.237417,31,0.139505,0.125021,1,39,937
975,1503,12.276715,31,0.134045,0.106750,1,42,910
950,1442,12.308916,31,0.129775,0.105686,1,42,883
925,1375,12.460245,31,0.131079,0.091224,1,46,853
900,1293,12.991660,30,0.126885,0.107189,1,48,805
875,1233,16.443514,39,0.123740,0.117031,1,48,780
850,1174,16.689626,39,0.120751,0.101268,1,51,751
825,1109,16.905103,40,0.113808,0.090782,1,51,731
800,1036,17.297351,42,0.112801,0.075251,1,59,701
775,966,18.784505,45,0.110315,0.079281,1,68,665
750,896,15.975340,40,0.116599,0.057368,1,78,423
725,838,15.730352,39,0.120083,0.059081,1,84,398
700,784,15.696215,39,0.127684,0.061868,1,94,373
675,742,15.660480,39,0.128375,0.069780,1,97,351
650,696,15.386374,39,0.129408,0.058672,1,98,333
625,658,9.203190,24,0.115631,0.084972,1,105,210
600,606,10.594323,27,0.107300,0.039721,1,113,197
575,553,10.657828,30,0.100893,0.039220,1,118,144
550,508,12.168067,33,0.089916,0.072015,1,122,119
525,454,11.539089,29,0.090034,-0.028958,1,135,97
500,413,11.112360,28,0.047191,-0.108491,1,135,89
475,371,12.765823,33,0.020833,-0.335784,1,145,80
450,326,11.004808,27,0.025641,-0.320000,1,154,65
425,283,6.722898,15,0.072734,0.014187,1,165,62
400,253,6.359189,15,0.083510,0.009053,1,166,54
