num_nodes,removed,mean_r1_s,std_r1_s,mean_r2_s,std_r2_s,mean_r1_avg_s,std_r1_avg_s,mean_r2_avg_s,std_r2_avg_s
2500,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2475,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2450,0.02,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2425,0.03,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2400,0.04,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2375,0.05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2350,0.06,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2325,0.07,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2300,0.08,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2275,0.09,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2250,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2225,0.11,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2200,0.12,0.9999909090909092,6.395695188013531e-05,1.0,0.0,0.02,0.1407052941362897,0.0,0.0
2175,0.13,0.9999862068965517,7.882602666564846e-05,1.0,0.0,0.03,0.1714466079977653,0.0,0.0
2150,0.14,0.9999906976744186,6.544432285407926e-05,1.0,0.0,0.02,0.1407052941362897,0.0,0.0
2125,0.15,0.9999811764705882,9.26806520315003e-05,1.0,0.0,0.04,0.19694638556693236,0.0,0.0
2100,0.16,0.9999809523809523,9.378399312712126e-05,1.0,0.0,0.04,0.19694638556693236,0.0,0.0
2075,0.17,0.9999807228915663,9.49139207551648e-05,0.9999951807228916,4.819277108432837e-05,0.04,0.19694638556693236,0.01,0.09999999999999999
2050,0.18,0.999980487804878,9.607140759362867e-05,0.9999951219512195,4.8780487804879054e-05,0.04,0.19694638556693236,0.01,0.09999999999999999
