num_nodes,removed,mean_r1_s,std_r1_s,mean_r2_s,std_r2_s,mean_r1_avg_s,std_r1_avg_s,mean_r2_avg_s,std_r2_avg_s
2500,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2475,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2450,0.02,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2425,0.03,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2400,0.04,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2375,0.05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2350,0.06,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2325,0.07,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2300,0.08,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2275,0.09,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2250,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2225,0.11,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2200,0.12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2175,0.13,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2150,0.14,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2125,0.15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2100,0.16,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2075,0.17,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2050,0.18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025,0.19,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2000,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1975,0.21,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1950,0.22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
