num_nodes,removed,mean_r1_s,std_r1_s,mean_r2_s,std_r2_s,mean_r1_avg_s,std_r1_avg_s,mean_r2_avg_s,std_r2_avg_s
2500,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2475,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2450,0.02,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2425,0.03,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2400,0.04,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2375,0.05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2350,0.06,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2325,0.07,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2300,0.08,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2275,0.09,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2250,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2225,0.11,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2200,0.12,0.9999954545454546,4.5454545454553136e-05,1.0,0.0,0.01,0.1,0.0,0.0
2175,0.13,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2150,0.14,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2125,0.15,1.0,0.0,0.9999952941176471,4.705882352942768e-05,0.0,0.0,0.01,0.09999999999999999
2100,0.16,1.0,0.0,0.9999904761904762,6.700252101728733e-05,0.0,0.0,0.02,0.14070529413628968
2075,0.17,0.9999951807228916,4.819277108432872e-05,0.9999855421686747,8.262487132421592e-05,0.01,0.1,0.03,0.1714466079977653
2050,0.18,0.9999853658536586,8.363249170622424e-05,0.999980487804878,9.60714075936248e-05,0.03,0.1714466079977653,0.04,0.19694638556693236
2025,0.19,0.9999851851851852,8.466499160384946e-05,0.9999654320987655,0.00012663328393890987,0.03,0.1714466079977653,0.07,0.2564323999762428
