num_nodes,removed,mean_r1_s,std_r1_s,mean_r2_s,std_r2_s,mean_r1_avg_s,std_r1_avg_s,mean_r2_avg_s,std_r2_avg_s
2500,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2475,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2450,0.02,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2425,0.03,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2400,0.04,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2375,0.05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2350,0.06,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2325,0.07,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2300,0.08,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2275,0.09,1.0,0.0,0.9999956043956044,4.395604395607878e-05,0.0,0.0,0.01,0.09999999999999998
2250,0.1,0.9999955555555556,4.4444444444417524e-05,0.9999955555555556,4.4444444444430826e-05,0.01,0.09999999999999999,0.01,0.09999999999999998
2225,0.11,0.9999955056179775,4.494382022469662e-05,0.9999955056179775,4.4943820224706406e-05,0.01,0.09999999999999999,0.01,0.09999999999999998
2200,0.12,0.9999909090909092,6.395695188014351e-05,0.9999954545454546,4.545454545456079e-05,0.02,0.1407052941362897,0.01,0.09999999999999998
2175,0.13,0.9999908045977012,6.469208925807813e-05,0.9999954022988505,4.59770114942441e-05,0.02,0.1407052941362897,0.01,0.09999999999999998
2150,0.14,0.9999953488372093,4.651162790697455e-05,0.9999953488372093,4.651162790696944e-05,0.01,0.09999999999999999,0.01,0.09999999999999998
2125,0.15,0.9999952941176471,4.705882352942768e-05,0.9999952941176471,4.705882352940241e-05,0.01,0.09999999999999999,0.01,0.09999999999999998
2100,0.16,0.999995238095238,4.7619047619056816e-05,0.9999809523809523,9.378399312711088e-05,0.01,0.09999999999999999,0.04,0.1969463855669324
