#n_nodes,m_edges,aspl,diameter,acluster,assort,n_conn,n_comp,o_largestc
2500,8494,17.522675,50,0.219690,0.300873,3,1,2500
2475,8323,17.529108,50,0.219367,0.299746,3,1,2475
2450,8156,17.564917,50,0.219210,0.296379,3,1,2450
2425,7995,17.612063,50,0.219380,0.296428,3,1,2425
2400,7835,17.633072,50,0.219094,0.290150,3,1,2400
2375,7671,17.658980,50,0.219013,0.293328,2,1,2375
2350,7505,17.706877,50,0.218314,0.284642,2,1,2350
2325,7335,17.755937,50,0.218278,0.262246,2,1,2325
2300,7166,17.820039,50,0.218054,0.262665,2,1,2300
2275,7005,17.850565,50,0.217683,0.262058,2,1,2275
2250,6855,17.874464,50,0.217774,0.261486,2,1,2250
2225,6711,17.925565,50,0.217428,0.262309,2,1,2225
2200,6556,17.991086,50,0.218486,0.255268,2,1,2200
2175,6406,18.051150,50,0.217402,0.256783,2,1,2175
2150,6251,18.102954,50,0.217074,0.245987,2,1,2150
2125,6113,18.178366,50,0.217490,0.242925,2,1,2125
2100,5967,18.245920,50,0.216805,0.247450,2,1,2100
2075,5825,18.299771,50,0.216609,0.239246,2,1,2075
2050,5684,18.373887,51,0.216936,0.228001,2,1,2050
2025,5552,18.431104,51,0.217633,0.239071,2,1,2025
2000,5419,18.500825,51,0.218090,0.225462,1,1,2000
1975,5277,18.578164,51,0.217437,0.223333,1,1,1975
1950,5154,18.675755,51,0.218010,0.229001,1,1,1950
1925,5019,18.802431,51,0.217468,0.231915,1,1,1925
1900,4886,18.832185,52,0.216954,0.231711,1,1,1900
1875,4754,18.872025,52,0.217741,0.221382,1,1,1875
1850,4620,19.010844,52,0.217992,0.223449,1,1,1850
1825,4500,19.159252,53,0.218582,0.215294,1,1,1825
1800,4369,19.251286,53,0.218471,0.221435,1,1,1800
1775,4252,19.489819,53,0.219506,0.225266,1,1,1775
1750,4142,19.657034,53,0.219702,0.229013,1,1,1750
1725,4030,19.767143,53,0.219089,0.234881,1,1,1725
1700,3917,19.878629,53,0.219207,0.236949,1,1,1700
1675,3819,19.953767,53,0.218903,0.242010,1,1,1675
1650,3711,20.101953,53,0.222242,0.248468,1,1,1650
1625,3598,20.246393,53,0.222535,0.249378,1,1,1625
