;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;153;0.0612;157;0.0628;0.937
6;6;1114;0.4456;1271;0.5083;0.4917
7;7;410;0.164;1681;0.6724;0.3276
8;8;219;0.0876;1900;0.76;0.2402
9;9;132;0.0528;2032;0.8125;0.1875
10;10;108;0.0432;2140;0.8555;0.1445
11;11;65;0.026;2205;0.8813;0.11865
12;12;58;0.0232;2263;0.9043;0.0957
13;13;37;0.0148;2300;0.919;0.08105
14;14;38;0.0152;2338;0.934;0.0659
15;15;40;0.016;2378;0.95;0.0498
16;16;20;0.008;2398;0.958;0.042
17;17;27;0.0108;2425;0.9688;0.03125
18;18;19;0.0076;2444;0.9766;0.02344
19;19;10;0.004;2454;0.9805;0.01953
20;20;8;0.0032;2462;0.984;0.01611
21;21;8;0.0032;2470;0.9873;0.012695
22;22;6;0.0024;2476;0.9897;0.010254
23;23;4;0.0016;2480;0.991;0.00879
24;24;5;0.002;2485;0.993;0.006836
25;25;1;0.0004;2486;0.9937;0.006348
26;26;1;0.0004;2487;0.994;0.00586
27;27;4;0.0016;2491;0.9956;0.004395
28;28;2;0.0008;2493;0.9966;0.003418
29;29;1;0.0004;2494;0.997;0.00293
30;30;3;0.0012;2497;0.998;0.001953
31;31;0;0.0;2497;0.998;0.001953
32;32;0;0.0;2497;0.998;0.001953
33;33;0;0.0;2497;0.998;0.001953
34;34;2;0.0008;2499;0.999;0.000977
35;35;0;0.0;2499;0.999;0.000977
36;36;1;0.0004;2500;0.9995;0.0004883
