;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;3;0.0012;3;0.0012;0.999
5;5;98;0.0392;101;0.0404;0.9595
6;6;559;0.2236;660;0.2642;0.736
7;7;584;0.2336;1244;0.4978;0.502
8;8;505;0.202;1749;0.6997;0.3003
9;9;294;0.1176;2043;0.8174;0.1826
10;10;189;0.0756;2232;0.893;0.10693
11;11;112;0.0448;2344;0.938;0.062
12;12;75;0.03;2419;0.968;0.03223
13;13;38;0.0152;2457;0.983;0.01709
14;14;22;0.0088;2479;0.9917;0.0083
15;15;6;0.0024;2485;0.994;0.00586
16;16;9;0.0036;2494;0.9976;0.002441
17;17;2;0.0008;2496;0.9985;0.001465
18;18;1;0.0004;2497;0.999;0.000977
19;19;1;0.0004;2498;0.9995;0.0004883
20;20;1;0.0004;2499;1.0;0.0
21;21;1;0.0004;2500;1.0;0.0
