;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;99;0.0396;103;0.0412;0.959
6;6;473;0.1892;576;0.2305;0.7695
7;7;595;0.238;1171;0.4685;0.5312
8;8;501;0.2004;1672;0.669;0.331
9;9;379;0.1516;2051;0.8203;0.1797
10;10;227;0.0908;2278;0.911;0.08887
11;11;132;0.0528;2410;0.964;0.03613
12;12;56;0.0224;2466;0.9863;0.01367
13;13;19;0.0076;2485;0.994;0.00586
14;14;7;0.0028;2492;0.997;0.00293
15;15;4;0.0016;2496;0.9985;0.001465
16;16;1;0.0004;2497;0.999;0.000977
17;17;2;0.0008;2499;1.0;0.0
18;18;1;0.0004;2500;1.0;0.0
