;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;143;0.0572;147;0.05878;0.9414
6;6;625;0.25;772;0.3088;0.6914
7;7;506;0.2024;1278;0.511;0.4888
8;8;445;0.178;1723;0.6895;0.3105
9;9;275;0.11;1998;0.7993;0.2007
10;10;192;0.0768;2190;0.876;0.124
11;11;132;0.0528;2322;0.9287;0.0713
12;12;78;0.0312;2400;0.96;0.04004
13;13;44;0.0176;2444;0.9775;0.02246
14;14;21;0.0084;2465;0.986;0.01416
15;15;17;0.0068;2482;0.9927;0.007324
16;16;7;0.0028;2489;0.9956;0.004395
17;17;7;0.0028;2496;0.9985;0.001465
18;18;0;0.0;2496;0.9985;0.001465
19;19;1;0.0004;2497;0.999;0.000977
20;20;1;0.0004;2498;0.9995;0.0004883
21;21;1;0.0004;2499;1.0;0.0
22;22;1;0.0004;2500;1.0;0.0
