;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;1;0.0004;1;0.0004;0.9995
5;5;102;0.0408;103;0.0412;0.959
6;6;581;0.2324;684;0.2737;0.7266
7;7;606;0.2424;1290;0.516;0.484
8;8;432;0.1729;1722;0.689;0.311
9;9;318;0.1272;2040;0.8164;0.1836
10;10;181;0.0724;2221;0.8887;0.1113
11;11;114;0.0456;2335;0.934;0.0659
12;12;81;0.0324;2416;0.9663;0.0337
13;13;31;0.0124;2447;0.9785;0.02148
14;14;24;0.0096;2471;0.9883;0.01172
15;15;13;0.0052;2484;0.9937;0.006348
16;16;8;0.0032;2492;0.997;0.00293
17;17;3;0.0012;2495;0.998;0.001953
18;18;4;0.0016;2499;0.9995;0.0004883
19;19;1;0.0004;2500;1.0;0.0
