;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;142;0.0568;146;0.05838;0.9414
6;6;614;0.2456;760;0.304;0.6963
7;7;513;0.2052;1273;0.5093;0.4907
8;8;428;0.1711;1701;0.6807;0.3193
9;9;291;0.1164;1992;0.797;0.2031
10;10;211;0.0844;2203;0.8813;0.11865
11;11;123;0.0492;2326;0.9307;0.06934
12;12;78;0.0312;2404;0.962;0.0381
13;13;49;0.0196;2453;0.9814;0.01855
14;14;20;0.008;2473;0.9893;0.01074
15;15;17;0.0068;2490;0.996;0.003906
16;16;4;0.0016;2494;0.9976;0.002441
17;17;1;0.0004;2495;0.998;0.001953
18;18;1;0.0004;2496;0.9985;0.001465
19;19;1;0.0004;2497;0.999;0.000977
20;20;1;0.0004;2498;0.9995;0.0004883
21;21;0;0.0;2498;0.9995;0.0004883
22;22;0;0.0;2498;0.9995;0.0004883
23;23;1;0.0004;2499;1.0;0.0
24;24;1;0.0004;2500;1.0;0.0
