;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;110;0.044;114;0.0456;0.9546
6;6;713;0.2852;827;0.3308;0.669
7;7;565;0.226;1392;0.5566;0.4434
8;8;387;0.1548;1779;0.7114;0.2886
9;9;280;0.112;2059;0.823;0.1768
10;10;132;0.0528;2191;0.876;0.124
11;11;107;0.0428;2298;0.919;0.08105
12;12;59;0.0236;2357;0.9424;0.05762
13;13;59;0.0236;2416;0.966;0.03418
14;14;24;0.0096;2440;0.9756;0.02441
15;15;17;0.0068;2457;0.9824;0.01758
16;16;9;0.0036;2466;0.986;0.01416
17;17;8;0.0032;2474;0.9893;0.01074
18;18;7;0.0028;2481;0.992;0.007812
19;19;4;0.0016;2485;0.9937;0.006348
20;20;5;0.002;2490;0.9956;0.004395
21;21;0;0.0;2490;0.9956;0.004395
22;22;4;0.0016;2494;0.997;0.00293
23;23;2;0.0008;2496;0.998;0.001953
24;24;1;0.0004;2497;0.9985;0.001465
25;25;0;0.0;2497;0.9985;0.001465
26;26;1;0.0004;2498;0.999;0.000977
27;27;1;0.0004;2499;0.9995;0.0004883
28;28;0;0.0;2499;0.9995;0.0004883
29;29;1;0.0004;2500;1.0;0.0
