;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;3;0.0012;3;0.0012;0.999
5;5;134;0.0536;137;0.05478;0.9453
6;6;789;0.3157;926;0.3704;0.63
7;7;559;0.2236;1485;0.5938;0.4062
8;8;324;0.1296;1809;0.7236;0.2764
9;9;232;0.0928;2041;0.8164;0.1836
10;10;145;0.058;2186;0.8745;0.1255
11;11;87;0.0348;2273;0.909;0.0908
12;12;66;0.0264;2339;0.9355;0.06445
13;13;39;0.0156;2378;0.951;0.04883
14;14;37;0.0148;2415;0.966;0.03418
15;15;22;0.0088;2437;0.9746;0.02539
16;16;17;0.0068;2454;0.9814;0.01855
17;17;11;0.0044;2465;0.986;0.01416
18;18;13;0.0052;2478;0.991;0.00879
19;19;6;0.0024;2484;0.9937;0.006348
20;20;3;0.0012;2487;0.9946;0.00537
21;21;3;0.0012;2490;0.9956;0.004395
22;22;0;0.0;2490;0.9956;0.004395
23;23;2;0.0008;2492;0.9966;0.003418
24;24;0;0.0;2492;0.9966;0.003418
25;25;1;0.0004;2493;0.997;0.00293
26;26;1;0.0004;2494;0.9976;0.002441
27;27;0;0.0;2494;0.9976;0.002441
28;28;1;0.0004;2495;0.998;0.001953
29;29;0;0.0;2495;0.998;0.001953
30;30;0;0.0;2495;0.998;0.001953
31;31;1;0.0004;2496;0.9985;0.001465
32;32;0;0.0;2496;0.9985;0.001465
33;33;1;0.0004;2497;0.999;0.000977
34;34;1;0.0004;2498;0.9995;0.0004883
35;35;0;0.0;2498;0.9995;0.0004883
36;36;0;0.0;2498;0.9995;0.0004883
37;37;0;0.0;2498;0.9995;0.0004883
38;38;0;0.0;2498;0.9995;0.0004883
39;39;0;0.0;2498;0.9995;0.0004883
40;40;1;0.0004;2499;1.0;0.0
41;41;0;0.0;2499;1.0;0.0
42;42;0;0.0;2499;1.0;0.0
43;43;0;0.0;2499;1.0;0.0
44;44;1;0.0004;2500;1.0;0.0
