;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;156;0.0624;160;0.064;0.936
6;6;1367;0.547;1527;0.611;0.3892
7;7;294;0.1176;1821;0.7285;0.2715
8;8;170;0.068;1991;0.7964;0.2036
9;9;106;0.0424;2097;0.839;0.1611
10;10;70;0.028;2167;0.8667;0.1333
11;11;57;0.0228;2224;0.8896;0.11035
12;12;50;0.02;2274;0.9097;0.09033
13;13;26;0.0104;2300;0.92;0.0801
14;14;31;0.0124;2331;0.932;0.0679
15;15;27;0.0108;2358;0.943;0.05713
16;16;22;0.0088;2380;0.9517;0.04834
17;17;15;0.006;2395;0.9575;0.04248
18;18;14;0.0056;2409;0.963;0.0371
19;19;14;0.0056;2423;0.9683;0.03174
20;20;10;0.004;2433;0.972;0.02783
21;21;9;0.0036;2442;0.9756;0.02441
22;22;6;0.0024;2448;0.978;0.02197
23;23;4;0.0016;2452;0.9795;0.02051
24;24;7;0.0028;2459;0.9824;0.01758
25;25;5;0.002;2464;0.9844;0.01563
26;26;6;0.0024;2470;0.987;0.01318
27;27;3;0.0012;2473;0.988;0.01221
28;28;5;0.002;2478;0.9897;0.010254
29;29;3;0.0012;2481;0.9907;0.00928
30;30;2;0.0008;2483;0.9917;0.0083
31;31;1;0.0004;2484;0.992;0.007812
32;32;0;0.0;2484;0.992;0.007812
33;33;0;0.0;2484;0.992;0.007812
34;34;0;0.0;2484;0.992;0.007812
35;35;1;0.0004;2485;0.9927;0.007324
36;36;1;0.0004;2486;0.993;0.006836
37;37;2;0.0008;2488;0.994;0.00586
38;38;1;0.0004;2489;0.9946;0.00537
39;39;0;0.0;2489;0.9946;0.00537
40;40;1;0.0004;2490;0.995;0.004883
41;41;1;0.0004;2491;0.9956;0.004395
42;42;0;0.0;2491;0.9956;0.004395
43;43;1;0.0004;2492;0.996;0.003906
44;44;2;0.0008;2494;0.997;0.00293
45;45;0;0.0;2494;0.997;0.00293
46;46;0;0.0;2494;0.997;0.00293
47;47;0;0.0;2494;0.997;0.00293
48;48;0;0.0;2494;0.997;0.00293
49;49;0;0.0;2494;0.997;0.00293
50;50;1;0.0004;2495;0.9976;0.002441
51;51;1;0.0004;2496;0.998;0.001953
52;52;0;0.0;2496;0.998;0.001953
53;53;1;0.0004;2497;0.9985;0.001465
54;54;1;0.0004;2498;0.999;0.000977
55;55;0;0.0;2498;0.999;0.000977
56;56;0;0.0;2498;0.999;0.000977
57;57;0;0.0;2498;0.999;0.000977
58;58;0;0.0;2498;0.999;0.000977
59;59;0;0.0;2498;0.999;0.000977
60;60;0;0.0;2498;0.999;0.000977
61;61;1;0.0004;2499;0.9995;0.0004883
62;62;0;0.0;2499;0.9995;0.0004883
63;63;0;0.0;2499;0.9995;0.0004883
64;64;0;0.0;2499;0.9995;0.0004883
65;65;0;0.0;2499;0.9995;0.0004883
66;66;0;0.0;2499;0.9995;0.0004883
67;67;0;0.0;2499;0.9995;0.0004883
68;68;0;0.0;2499;0.9995;0.0004883
69;69;0;0.0;2499;0.9995;0.0004883
70;70;0;0.0;2499;0.9995;0.0004883
71;71;0;0.0;2499;0.9995;0.0004883
72;72;0;0.0;2499;0.9995;0.0004883
73;73;0;0.0;2499;0.9995;0.0004883
74;74;0;0.0;2499;0.9995;0.0004883
75;75;0;0.0;2499;0.9995;0.0004883
76;76;1;0.0004;2500;1.0;0.0
