;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;128;0.0512;132;0.0528;0.9473
6;6;711;0.2844;843;0.3372;0.663
7;7;510;0.204;1353;0.541;0.459
8;8;391;0.1564;1744;0.6973;0.3027
9;9;258;0.1032;2002;0.8003;0.1997
10;10;176;0.0704;2178;0.8706;0.1294
11;11;103;0.0412;2281;0.9116;0.0884
12;12;76;0.0304;2357;0.942;0.0581
13;13;59;0.0236;2416;0.9653;0.03467
14;14;36;0.0144;2452;0.9795;0.02051
15;15;22;0.0088;2474;0.9883;0.01172
16;16;10;0.004;2484;0.992;0.007812
17;17;8;0.0032;2492;0.9956;0.004395
18;18;2;0.0008;2494;0.9966;0.003418
19;19;3;0.0012;2497;0.9976;0.002441
20;20;0;0.0;2497;0.9976;0.002441
21;21;3;0.0012;2500;0.9985;0.001465
