;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;102;0.0408;106;0.0424;0.9575
6;6;477;0.1908;583;0.2332;0.7666
7;7;591;0.2365;1174;0.4697;0.5303
8;8;494;0.1976;1668;0.6675;0.3325
9;9;401;0.1604;2069;0.828;0.1719
10;10;208;0.0832;2277;0.911;0.08887
11;11;120;0.048;2397;0.959;0.04102
12;12;55;0.022;2452;0.981;0.01904
13;13;29;0.0116;2481;0.9927;0.007324
14;14;12;0.0048;2493;0.9976;0.002441
15;15;6;0.0024;2499;1.0;0.0
16;16;0;0.0;2499;1.0;0.0
17;17;1;0.0004;2500;1.0;0.0
