;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;3;0.0012;3;0.0012;0.999
5;5;102;0.0408;105;0.042;0.958
6;6;562;0.2249;667;0.2668;0.7334
7;7;605;0.242;1272;0.509;0.4912
8;8;460;0.184;1732;0.693;0.3071
9;9;311;0.1244;2043;0.8174;0.1826
10;10;200;0.08;2243;0.8975;0.10254
11;11;103;0.0412;2346;0.9385;0.06152
12;12;65;0.026;2411;0.9644;0.03564
13;13;38;0.0152;2449;0.9795;0.02051
14;14;22;0.0088;2471;0.9883;0.01172
15;15;11;0.0044;2482;0.9927;0.007324
16;16;7;0.0028;2489;0.9956;0.004395
17;17;5;0.002;2494;0.9976;0.002441
18;18;1;0.0004;2495;0.998;0.001953
19;19;4;0.0016;2499;0.9995;0.0004883
20;20;0;0.0;2499;0.9995;0.0004883
21;21;1;0.0004;2500;1.0;0.0
