;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;93;0.0372;97;0.0388;0.9614
6;6;478;0.1912;575;0.23;0.77
7;7;593;0.2372;1168;0.4673;0.5327
8;8;528;0.2112;1696;0.6787;0.3213
9;9;366;0.1464;2062;0.825;0.1748
10;10;230;0.092;2292;0.917;0.083
11;11;99;0.0396;2391;0.9565;0.04346
12;12;62;0.0248;2453;0.9814;0.01855
13;13;28;0.0112;2481;0.9927;0.007324
14;14;12;0.0048;2493;0.9976;0.002441
15;15;3;0.0012;2496;0.9985;0.001465
16;16;0;0.0;2496;0.9985;0.001465
17;17;2;0.0008;2498;0.9995;0.0004883
18;18;1;0.0004;2499;1.0;0.0
19;19;0;0.0;2499;1.0;0.0
20;20;1;0.0004;2500;1.0;0.0
