;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;104;0.0416;108;0.04318;0.957
6;6;449;0.1796;557;0.2228;0.7773
7;7;607;0.2428;1164;0.4656;0.534
8;8;518;0.2072;1682;0.673;0.3271
9;9;364;0.1456;2046;0.8184;0.1816
10;10;233;0.0932;2279;0.9116;0.0884
11;11;133;0.0532;2412;0.965;0.03516
12;12;57;0.0228;2469;0.988;0.01221
13;13;21;0.0084;2490;0.996;0.003906
14;14;5;0.002;2495;0.998;0.001953
15;15;2;0.0008;2497;0.999;0.000977
16;16;2;0.0008;2499;1.0;0.0
17;17;0;0.0;2499;1.0;0.0
18;18;0;0.0;2499;1.0;0.0
19;19;1;0.0004;2500;1.0;0.0
