;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;127;0.0508;131;0.0524;0.9478
6;6;675;0.27;806;0.3225;0.6777
7;7;560;0.224;1366;0.5464;0.4536
8;8;376;0.1504;1742;0.697;0.3032
9;9;260;0.104;2002;0.801;0.1992
10;10;170;0.068;2172;0.8687;0.1313
11;11;122;0.0488;2294;0.9175;0.0825
12;12;86;0.0344;2380;0.9517;0.04834
13;13;36;0.0144;2416;0.966;0.03418
14;14;36;0.0144;2452;0.98;0.02002
15;15;17;0.0068;2469;0.987;0.01318
16;16;14;0.0056;2483;0.992;0.007812
17;17;9;0.0036;2492;0.9956;0.004395
18;18;3;0.0012;2495;0.9966;0.003418
19;19;3;0.0012;2498;0.9976;0.002441
20;20;1;0.0004;2499;0.998;0.001953
21;21;0;0.0;2499;0.998;0.001953
22;22;1;0.0004;2500;0.9985;0.001465
