;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;132;0.0528;136;0.05438;0.946
6;6;828;0.3313;964;0.3857;0.6143
7;7;515;0.206;1479;0.592;0.4082
8;8;337;0.1348;1816;0.7266;0.2734
9;9;208;0.0832;2024;0.8096;0.1904
10;10;144;0.0576;2168;0.867;0.1328
11;11;106;0.0424;2274;0.9097;0.09033
12;12;58;0.0232;2332;0.9326;0.0674
13;13;43;0.0172;2375;0.9497;0.0503
14;14;39;0.0156;2414;0.9653;0.03467
15;15;25;0.01;2439;0.975;0.0249
16;16;17;0.0068;2456;0.982;0.01807
17;17;10;0.004;2466;0.986;0.01416
18;18;4;0.0016;2470;0.9873;0.012695
19;19;9;0.0036;2479;0.9907;0.00928
20;20;4;0.0016;2483;0.992;0.007812
21;21;3;0.0012;2486;0.993;0.006836
22;22;3;0.0012;2489;0.994;0.00586
23;23;1;0.0004;2490;0.9946;0.00537
24;24;2;0.0008;2492;0.9956;0.004395
25;25;1;0.0004;2493;0.996;0.003906
26;26;2;0.0008;2495;0.997;0.00293
27;27;0;0.0;2495;0.997;0.00293
28;28;0;0.0;2495;0.997;0.00293
29;29;1;0.0004;2496;0.9976;0.002441
30;30;0;0.0;2496;0.9976;0.002441
31;31;2;0.0008;2498;0.9985;0.001465
32;32;0;0.0;2498;0.9985;0.001465
33;33;0;0.0;2498;0.9985;0.001465
34;34;2;0.0008;2500;0.9995;0.0004883
