;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;3;0.0012;3;0.0012;0.999
5;5;102;0.0408;105;0.042;0.958
6;6;571;0.2284;676;0.2705;0.7295
7;7;601;0.2404;1277;0.5107;0.4893
8;8;459;0.1836;1736;0.6943;0.3057
9;9;313;0.1252;2049;0.8193;0.1807
10;10;185;0.074;2234;0.8936;0.10645
11;11;108;0.0432;2342;0.9365;0.0635
12;12;60;0.024;2402;0.9604;0.03955
13;13;38;0.0152;2440;0.9756;0.02441
14;14;31;0.0124;2471;0.988;0.01221
15;15;14;0.0056;2485;0.993;0.006836
16;16;5;0.002;2490;0.995;0.004883
17;17;5;0.002;2495;0.997;0.00293
18;18;2;0.0008;2497;0.998;0.001953
19;19;2;0.0008;2499;0.999;0.000977
20;20;0;0.0;2499;0.999;0.000977
21;21;1;0.0004;2500;0.9995;0.0004883
