;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;121;0.0484;125;0.05;0.95
6;6;706;0.2825;831;0.3325;0.6675
7;7;548;0.2192;1379;0.552;0.4482
8;8;374;0.1497;1753;0.701;0.2988
9;9;255;0.102;2008;0.803;0.1968
10;10;165;0.066;2173;0.869;0.1309
11;11;102;0.0408;2275;0.91;0.08984
12;12;86;0.0344;2361;0.9443;0.05566
13;13;48;0.0192;2409;0.9634;0.03662
14;14;39;0.0156;2448;0.979;0.021
15;15;23;0.0092;2471;0.9883;0.01172
16;16;14;0.0056;2485;0.9937;0.006348
17;17;5;0.002;2490;0.9956;0.004395
18;18;4;0.0016;2494;0.997;0.00293
19;19;3;0.0012;2497;0.998;0.001953
20;20;1;0.0004;2498;0.9985;0.001465
21;21;1;0.0004;2499;0.999;0.000977
22;22;1;0.0004;2500;0.9995;0.0004883
