;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;121;0.0484;125;0.05;0.95
6;6;832;0.3328;957;0.3828;0.617
7;7;553;0.2212;1510;0.604;0.396
8;8;346;0.1384;1856;0.742;0.2578
9;9;196;0.0784;2052;0.821;0.1792
10;10;127;0.0508;2179;0.8716;0.1284
11;11;77;0.0308;2256;0.9023;0.09766
12;12;75;0.03;2331;0.932;0.0679
13;13;36;0.0144;2367;0.9463;0.0537
14;14;33;0.0132;2400;0.9595;0.04053
15;15;28;0.0112;2428;0.9707;0.0293
16;16;16;0.0064;2444;0.977;0.02295
17;17;17;0.0068;2461;0.984;0.01611
18;18;4;0.0016;2465;0.9854;0.01465
19;19;9;0.0036;2474;0.989;0.01123
20;20;7;0.0028;2481;0.9917;0.0083
21;21;3;0.0012;2484;0.9927;0.007324
22;22;3;0.0012;2487;0.9937;0.006348
23;23;3;0.0012;2490;0.9946;0.00537
24;24;0;0.0;2490;0.9946;0.00537
25;25;2;0.0008;2492;0.9956;0.004395
26;26;0;0.0;2492;0.9956;0.004395
27;27;1;0.0004;2493;0.996;0.003906
28;28;3;0.0012;2496;0.997;0.00293
29;29;2;0.0008;2498;0.998;0.001953
30;30;0;0.0;2498;0.998;0.001953
31;31;1;0.0004;2499;0.9985;0.001465
32;32;0;0.0;2499;0.9985;0.001465
33;33;0;0.0;2499;0.9985;0.001465
34;34;0;0.0;2499;0.9985;0.001465
35;35;0;0.0;2499;0.9985;0.001465
36;36;0;0.0;2499;0.9985;0.001465
37;37;0;0.0;2499;0.9985;0.001465
38;38;0;0.0;2499;0.9985;0.001465
39;39;0;0.0;2499;0.9985;0.001465
40;40;0;0.0;2499;0.9985;0.001465
41;41;1;0.0004;2500;0.999;0.000977
