;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;157;0.0628;161;0.0644;0.9355
6;6;1112;0.4448;1273;0.5093;0.4907
7;7;411;0.1644;1684;0.674;0.3262
8;8;188;0.0752;1872;0.749;0.251
9;9;135;0.054;2007;0.803;0.1968
10;10;100;0.04;2107;0.8433;0.1567
11;11;80;0.032;2187;0.8755;0.1245
12;12;87;0.0348;2274;0.91;0.08984
13;13;49;0.0196;2323;0.9297;0.0703
14;14;51;0.0204;2374;0.95;0.0498
15;15;28;0.0112;2402;0.9614;0.03857
16;16;17;0.0068;2419;0.9683;0.03174
17;17;19;0.0076;2438;0.976;0.02393
18;18;9;0.0036;2447;0.9795;0.02051
19;19;7;0.0028;2454;0.9824;0.01758
20;20;6;0.0024;2460;0.985;0.01514
21;21;7;0.0028;2467;0.988;0.01221
22;22;4;0.0016;2471;0.9893;0.01074
23;23;9;0.0036;2480;0.9927;0.007324
24;24;2;0.0008;2482;0.9937;0.006348
25;25;3;0.0012;2485;0.9946;0.00537
26;26;1;0.0004;2486;0.995;0.004883
27;27;2;0.0008;2488;0.996;0.003906
28;28;2;0.0008;2490;0.997;0.00293
29;29;2;0.0008;2492;0.998;0.001953
30;30;2;0.0008;2494;0.999;0.000977
31;31;1;0.0004;2495;0.9995;0.0004883
32;32;1;0.0004;2496;1.0;0.0
33;33;2;0.0008;2498;1.001;-0.000977
34;34;0;0.0;2498;1.001;-0.000977
35;35;0;0.0;2498;1.001;-0.000977
36;36;0;0.0;2498;1.001;-0.000977
37;37;1;0.0004;2499;1.001;-0.000977
38;38;0;0.0;2499;1.001;-0.000977
39;39;0;0.0;2499;1.001;-0.000977
40;40;0;0.0;2499;1.001;-0.000977
41;41;1;0.0004;2500;1.001;-0.000977
