;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;98;0.0392;102;0.0408;0.959
6;6;488;0.1952;590;0.236;0.764
7;7;561;0.2244;1151;0.4604;0.5396
8;8;535;0.214;1686;0.6743;0.3257
9;9;379;0.1516;2065;0.826;0.1738
10;10;209;0.0836;2274;0.9097;0.09033
11;11;119;0.0476;2393;0.957;0.04297
12;12;66;0.0264;2459;0.9834;0.0166
13;13;26;0.0104;2485;0.9937;0.006348
14;14;9;0.0036;2494;0.997;0.00293
15;15;4;0.0016;2498;0.9985;0.001465
16;16;1;0.0004;2499;0.999;0.000977
17;17;1;0.0004;2500;0.9995;0.0004883
