;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;159;0.0636;163;0.0652;0.9346
6;6;1342;0.5366;1505;0.6016;0.3984
7;7;294;0.1176;1799;0.719;0.2808
8;8;148;0.0592;1947;0.7783;0.2217
9;9;123;0.0492;2070;0.8276;0.1724
10;10;82;0.0328;2152;0.8604;0.1396
11;11;69;0.0276;2221;0.888;0.1118
12;12;58;0.0232;2279;0.911;0.08887
13;13;38;0.0152;2317;0.9263;0.0737
14;14;27;0.0108;2344;0.937;0.063
15;15;20;0.008;2364;0.945;0.05518
16;16;19;0.0076;2383;0.9526;0.04736
17;17;23;0.0092;2406;0.962;0.0381
18;18;17;0.0068;2423;0.9688;0.03125
19;19;14;0.0056;2437;0.974;0.02588
20;20;8;0.0032;2445;0.9775;0.02246
21;21;7;0.0028;2452;0.9805;0.01953
22;22;7;0.0028;2459;0.9834;0.0166
23;23;3;0.0012;2462;0.9844;0.01563
24;24;4;0.0016;2466;0.986;0.01416
25;25;2;0.0008;2468;0.987;0.01318
26;26;3;0.0012;2471;0.988;0.01221
27;27;1;0.0004;2472;0.9883;0.01172
28;28;0;0.0;2472;0.9883;0.01172
29;29;2;0.0008;2474;0.9893;0.01074
30;30;1;0.0004;2475;0.9897;0.010254
31;31;3;0.0012;2478;0.9907;0.00928
32;32;3;0.0012;2481;0.9917;0.0083
33;33;3;0.0012;2484;0.9927;0.007324
34;34;2;0.0008;2486;0.9937;0.006348
35;35;2;0.0008;2488;0.9946;0.00537
36;36;2;0.0008;2490;0.9956;0.004395
37;37;1;0.0004;2491;0.996;0.003906
38;38;2;0.0008;2493;0.997;0.00293
39;39;0;0.0;2493;0.997;0.00293
40;40;1;0.0004;2494;0.9976;0.002441
41;41;1;0.0004;2495;0.998;0.001953
42;42;0;0.0;2495;0.998;0.001953
43;43;0;0.0;2495;0.998;0.001953
44;44;0;0.0;2495;0.998;0.001953
45;45;0;0.0;2495;0.998;0.001953
46;46;1;0.0004;2496;0.9985;0.001465
47;47;0;0.0;2496;0.9985;0.001465
48;48;0;0.0;2496;0.9985;0.001465
49;49;1;0.0004;2497;0.999;0.000977
50;50;0;0.0;2497;0.999;0.000977
51;51;0;0.0;2497;0.999;0.000977
52;52;0;0.0;2497;0.999;0.000977
53;53;0;0.0;2497;0.999;0.000977
54;54;0;0.0;2497;0.999;0.000977
55;55;0;0.0;2497;0.999;0.000977
56;56;1;0.0004;2498;0.9995;0.0004883
57;57;0;0.0;2498;0.9995;0.0004883
58;58;0;0.0;2498;0.9995;0.0004883
59;59;0;0.0;2498;0.9995;0.0004883
60;60;0;0.0;2498;0.9995;0.0004883
61;61;0;0.0;2498;0.9995;0.0004883
62;62;0;0.0;2498;0.9995;0.0004883
63;63;0;0.0;2498;0.9995;0.0004883
64;64;0;0.0;2498;0.9995;0.0004883
65;65;0;0.0;2498;0.9995;0.0004883
66;66;1;0.0004;2499;1.0;0.0
67;67;0;0.0;2499;1.0;0.0
68;68;0;0.0;2499;1.0;0.0
69;69;0;0.0;2499;1.0;0.0
70;70;0;0.0;2499;1.0;0.0
71;71;0;0.0;2499;1.0;0.0
72;72;0;0.0;2499;1.0;0.0
73;73;0;0.0;2499;1.0;0.0
74;74;0;0.0;2499;1.0;0.0
75;75;0;0.0;2499;1.0;0.0
76;76;0;0.0;2499;1.0;0.0
77;77;0;0.0;2499;1.0;0.0
78;78;0;0.0;2499;1.0;0.0
79;79;0;0.0;2499;1.0;0.0
80;80;0;0.0;2499;1.0;0.0
81;81;0;0.0;2499;1.0;0.0
82;82;0;0.0;2499;1.0;0.0
83;83;0;0.0;2499;1.0;0.0
84;84;0;0.0;2499;1.0;0.0
85;85;0;0.0;2499;1.0;0.0
86;86;0;0.0;2499;1.0;0.0
87;87;0;0.0;2499;1.0;0.0
88;88;0;0.0;2499;1.0;0.0
89;89;0;0.0;2499;1.0;0.0
90;90;0;0.0;2499;1.0;0.0
91;91;0;0.0;2499;1.0;0.0
92;92;0;0.0;2499;1.0;0.0
93;93;0;0.0;2499;1.0;0.0
94;94;0;0.0;2499;1.0;0.0
95;95;0;0.0;2499;1.0;0.0
96;96;1;0.0004;2500;1.0;0.0
