;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;3;0.0012;3;0.0012;0.999
5;5;88;0.0352;91;0.03638;0.964
6;6;572;0.2288;663;0.2651;0.735
7;7;651;0.2605;1314;0.5254;0.4746
8;8;411;0.1644;1725;0.69;0.31
9;9;302;0.1208;2027;0.8105;0.1895
10;10;204;0.0816;2231;0.892;0.1079
11;11;112;0.0448;2343;0.937;0.063
12;12;71;0.0284;2414;0.9653;0.03467
13;13;33;0.0132;2447;0.9785;0.02148
14;14;27;0.0108;2474;0.9893;0.01074
15;15;10;0.004;2484;0.993;0.006836
16;16;6;0.0024;2490;0.9956;0.004395
17;17;5;0.002;2495;0.9976;0.002441
18;18;4;0.0016;2499;0.999;0.000977
19;19;1;0.0004;2500;0.9995;0.0004883
