;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;123;0.0492;127;0.05078;0.949
6;6;713;0.2852;840;0.336;0.664
7;7;535;0.214;1375;0.55;0.4502
8;8;388;0.1552;1763;0.705;0.295
9;9;217;0.0868;1980;0.792;0.208
10;10;179;0.0716;2159;0.864;0.1362
11;11;129;0.0516;2288;0.9155;0.0845
12;12;73;0.0292;2361;0.945;0.05518
13;13;57;0.0228;2418;0.968;0.03223
14;14;29;0.0116;2447;0.9795;0.02051
15;15;20;0.008;2467;0.9873;0.012695
16;16;19;0.0076;2486;0.995;0.004883
17;17;5;0.002;2491;0.997;0.00293
18;18;5;0.002;2496;0.999;0.000977
19;19;2;0.0008;2498;1.0;0.0
20;20;2;0.0008;2500;1.001;-0.000977
