;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;131;0.0524;135;0.054;0.946
6;6;328;0.1312;463;0.1852;0.815
7;7;477;0.1908;940;0.376;0.624
8;8;767;0.307;1707;0.6826;0.3174
9;9;435;0.174;2142;0.8564;0.1436
10;10;226;0.0904;2368;0.947;0.05322
11;11;94;0.0376;2462;0.9844;0.01563
12;12;29;0.0116;2491;0.996;0.003906
13;13;6;0.0024;2497;0.9985;0.001465
14;14;2;0.0008;2499;0.9995;0.0004883
15;15;1;0.0004;2500;1.0;0.0
