;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;127;0.0508;131;0.0524;0.9478
6;6;708;0.2832;839;0.3357;0.664
7;7;541;0.2164;1380;0.5522;0.4478
8;8;378;0.1512;1758;0.7036;0.2964
9;9;240;0.096;1998;0.8;0.2002
10;10;171;0.0684;2169;0.868;0.1318
11;11;112;0.0448;2281;0.913;0.0869
12;12;78;0.0312;2359;0.9443;0.05566
13;13;59;0.0236;2418;0.968;0.03223
14;14;25;0.01;2443;0.9775;0.02246
15;15;26;0.0104;2469;0.988;0.01221
16;16;6;0.0024;2475;0.99;0.009766
17;17;14;0.0056;2489;0.9956;0.004395
18;18;3;0.0012;2492;0.9966;0.003418
19;19;5;0.002;2497;0.9985;0.001465
20;20;1;0.0004;2498;0.999;0.000977
21;21;2;0.0008;2500;1.0;0.0
