;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;139;0.0556;143;0.0572;0.943
6;6;828;0.3313;971;0.3884;0.6113
7;7;525;0.21;1496;0.5986;0.4014
8;8;325;0.13;1821;0.7285;0.2715
9;9;210;0.084;2031;0.8125;0.1875
10;10;122;0.0488;2153;0.8613;0.1387
11;11;98;0.0392;2251;0.9004;0.0996
12;12;66;0.0264;2317;0.927;0.07324
13;13;55;0.022;2372;0.9487;0.05127
14;14;34;0.0136;2406;0.9624;0.0376
15;15;31;0.0124;2437;0.9746;0.02539
16;16;15;0.006;2452;0.9805;0.01953
17;17;9;0.0036;2461;0.984;0.01611
18;18;9;0.0036;2470;0.9873;0.012695
19;19;11;0.0044;2481;0.9917;0.0083
20;20;3;0.0012;2484;0.9927;0.007324
21;21;3;0.0012;2487;0.9937;0.006348
22;22;4;0.0016;2491;0.995;0.004883
23;23;2;0.0008;2493;0.996;0.003906
24;24;2;0.0008;2495;0.997;0.00293
25;25;2;0.0008;2497;0.998;0.001953
26;26;2;0.0008;2499;0.999;0.000977
27;27;0;0.0;2499;0.999;0.000977
28;28;0;0.0;2499;0.999;0.000977
29;29;0;0.0;2499;0.999;0.000977
30;30;0;0.0;2499;0.999;0.000977
31;31;0;0.0;2499;0.999;0.000977
32;32;0;0.0;2499;0.999;0.000977
33;33;0;0.0;2499;0.999;0.000977
34;34;0;0.0;2499;0.999;0.000977
35;35;0;0.0;2499;0.999;0.000977
36;36;0;0.0;2499;0.999;0.000977
37;37;0;0.0;2499;0.999;0.000977
38;38;0;0.0;2499;0.999;0.000977
39;39;1;0.0004;2500;0.9995;0.0004883
