;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;161;0.0644;165;0.066;0.934
6;6;1301;0.5205;1466;0.5864;0.4136
7;7;360;0.144;1826;0.7305;0.2695
8;8;145;0.058;1971;0.7886;0.2114
9;9;107;0.0428;2078;0.8315;0.1685
10;10;86;0.0344;2164;0.8657;0.1343
11;11;62;0.0248;2226;0.8906;0.1094
12;12;50;0.02;2276;0.9106;0.08936
13;13;39;0.0156;2315;0.9263;0.0737
14;14;22;0.0088;2337;0.935;0.06494
15;15;24;0.0096;2361;0.945;0.05518
16;16;18;0.0072;2379;0.952;0.04785
17;17;15;0.006;2394;0.958;0.042
18;18;11;0.0044;2405;0.9624;0.0376
19;19;17;0.0068;2422;0.969;0.03076
20;20;10;0.004;2432;0.973;0.02686
21;21;7;0.0028;2439;0.976;0.02393
22;22;9;0.0036;2448;0.9795;0.02051
23;23;5;0.002;2453;0.9814;0.01855
24;24;3;0.0012;2456;0.9824;0.01758
25;25;8;0.0032;2464;0.986;0.01416
26;26;6;0.0024;2470;0.9883;0.01172
27;27;6;0.0024;2476;0.9907;0.00928
28;28;3;0.0012;2479;0.9917;0.0083
29;29;0;0.0;2479;0.9917;0.0083
30;30;4;0.0016;2483;0.993;0.006836
31;31;3;0.0012;2486;0.994;0.00586
32;32;1;0.0004;2487;0.9946;0.00537
33;33;2;0.0008;2489;0.9956;0.004395
34;34;2;0.0008;2491;0.9966;0.003418
35;35;1;0.0004;2492;0.997;0.00293
36;36;0;0.0;2492;0.997;0.00293
37;37;0;0.0;2492;0.997;0.00293
38;38;0;0.0;2492;0.997;0.00293
39;39;0;0.0;2492;0.997;0.00293
40;40;0;0.0;2492;0.997;0.00293
41;41;2;0.0008;2494;0.998;0.001953
42;42;0;0.0;2494;0.998;0.001953
43;43;0;0.0;2494;0.998;0.001953
44;44;0;0.0;2494;0.998;0.001953
45;45;0;0.0;2494;0.998;0.001953
46;46;1;0.0004;2495;0.9985;0.001465
47;47;0;0.0;2495;0.9985;0.001465
48;48;1;0.0004;2496;0.999;0.000977
49;49;2;0.0008;2498;1.0;0.0
50;50;0;0.0;2498;1.0;0.0
51;51;0;0.0;2498;1.0;0.0
52;52;0;0.0;2498;1.0;0.0
53;53;0;0.0;2498;1.0;0.0
54;54;0;0.0;2498;1.0;0.0
55;55;0;0.0;2498;1.0;0.0
56;56;0;0.0;2498;1.0;0.0
57;57;0;0.0;2498;1.0;0.0
58;58;1;0.0004;2499;1.0;0.0
59;59;0;0.0;2499;1.0;0.0
60;60;0;0.0;2499;1.0;0.0
61;61;0;0.0;2499;1.0;0.0
62;62;0;0.0;2499;1.0;0.0
63;63;0;0.0;2499;1.0;0.0
64;64;0;0.0;2499;1.0;0.0
65;65;0;0.0;2499;1.0;0.0
66;66;0;0.0;2499;1.0;0.0
67;67;0;0.0;2499;1.0;0.0
68;68;0;0.0;2499;1.0;0.0
69;69;1;0.0004;2500;1.0;0.0
