;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;147;0.0588;151;0.0604;0.9395
6;6;1111;0.4443;1262;0.505;0.495
7;7;399;0.1595;1661;0.6646;0.3354
8;8;228;0.0912;1889;0.756;0.2441
9;9;150;0.06;2039;0.816;0.1841
10;10;90;0.036;2129;0.852;0.148
11;11;86;0.0344;2215;0.886;0.1138
12;12;63;0.0252;2278;0.9116;0.0884
13;13;42;0.0168;2320;0.928;0.0718
14;14;43;0.0172;2363;0.9453;0.0547
15;15;36;0.0144;2399;0.9595;0.04053
16;16;16;0.0064;2415;0.966;0.03418
17;17;17;0.0068;2432;0.9727;0.02734
18;18;11;0.0044;2443;0.977;0.02295
19;19;7;0.0028;2450;0.98;0.02002
20;20;13;0.0052;2463;0.9854;0.01465
21;21;3;0.0012;2466;0.9863;0.01367
22;22;5;0.002;2471;0.9883;0.01172
23;23;7;0.0028;2478;0.991;0.00879
24;24;3;0.0012;2481;0.992;0.007812
25;25;4;0.0016;2485;0.9937;0.006348
26;26;1;0.0004;2486;0.994;0.00586
27;27;2;0.0008;2488;0.995;0.004883
28;28;2;0.0008;2490;0.996;0.003906
29;29;0;0.0;2490;0.996;0.003906
30;30;2;0.0008;2492;0.997;0.00293
31;31;2;0.0008;2494;0.998;0.001953
32;32;2;0.0008;2496;0.999;0.000977
33;33;0;0.0;2496;0.999;0.000977
34;34;0;0.0;2496;0.999;0.000977
35;35;0;0.0;2496;0.999;0.000977
36;36;0;0.0;2496;0.999;0.000977
37;37;0;0.0;2496;0.999;0.000977
38;38;1;0.0004;2497;0.9995;0.0004883
39;39;0;0.0;2497;0.9995;0.0004883
40;40;1;0.0004;2498;1.0;0.0
41;41;0;0.0;2498;1.0;0.0
42;42;2;0.0008;2500;1.001;-0.000977
