;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;2;0.0008;2;0.0008;0.999
5;5;104;0.0416;106;0.0424;0.9575
6;6;593;0.2372;699;0.2795;0.7207
7;7;584;0.2336;1283;0.513;0.4868
8;8;471;0.1884;1754;0.7017;0.2983
9;9;286;0.1144;2040;0.816;0.1841
10;10;180;0.072;2220;0.8877;0.1123
11;11;114;0.0456;2334;0.933;0.0669
12;12;72;0.0288;2406;0.962;0.0381
13;13;42;0.0168;2448;0.9785;0.02148
14;14;26;0.0104;2474;0.989;0.01123
15;15;6;0.0024;2480;0.991;0.00879
16;16;6;0.0024;2486;0.9937;0.006348
17;17;4;0.0016;2490;0.995;0.004883
18;18;1;0.0004;2491;0.9956;0.004395
19;19;3;0.0012;2494;0.9966;0.003418
20;20;2;0.0008;2496;0.9976;0.002441
21;21;1;0.0004;2497;0.998;0.001953
22;22;3;0.0012;2500;0.999;0.000977
