;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;138;0.0552;142;0.0568;0.9434
6;6;648;0.2593;790;0.3162;0.6836
7;7;481;0.1924;1271;0.509;0.4912
8;8;446;0.1783;1717;0.687;0.313
9;9;283;0.1132;2000;0.8003;0.1997
10;10;191;0.0764;2191;0.877;0.12305
11;11;115;0.046;2306;0.923;0.07715
12;12;86;0.0344;2392;0.957;0.04297
13;13;56;0.0224;2448;0.9795;0.02051
14;14;27;0.0108;2475;0.99;0.009766
15;15;9;0.0036;2484;0.9937;0.006348
16;16;8;0.0032;2492;0.997;0.00293
17;17;2;0.0008;2494;0.998;0.001953
18;18;2;0.0008;2496;0.999;0.000977
19;19;3;0.0012;2499;1.0;0.0
20;20;0;0.0;2499;1.0;0.0
21;21;1;0.0004;2500;1.0;0.0
