;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;104;0.0416;108;0.04318;0.957
6;6;442;0.1768;550;0.22;0.7803
7;7;594;0.2375;1144;0.4575;0.5425
8;8;540;0.216;1684;0.6733;0.3267
9;9;379;0.1516;2063;0.825;0.1748
10;10;223;0.0892;2286;0.9146;0.08545
11;11;128;0.0512;2414;0.966;0.03418
12;12;55;0.022;2469;0.988;0.01221
13;13;20;0.008;2489;0.9956;0.004395
14;14;7;0.0028;2496;0.9985;0.001465
15;15;2;0.0008;2498;0.9995;0.0004883
16;16;1;0.0004;2499;1.0;0.0
17;17;1;0.0004;2500;1.0;0.0
