;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;122;0.0488;126;0.05038;0.9497
6;6;720;0.288;846;0.3384;0.6616
7;7;524;0.2096;1370;0.548;0.4521
8;8;373;0.1492;1743;0.6973;0.3027
9;9;259;0.1036;2002;0.801;0.1992
10;10;176;0.0704;2178;0.871;0.1289
11;11;115;0.046;2293;0.917;0.083
12;12;74;0.0296;2367;0.947;0.05322
13;13;45;0.018;2412;0.965;0.03516
14;14;37;0.0148;2449;0.9795;0.02051
15;15;18;0.0072;2467;0.987;0.01318
16;16;13;0.0052;2480;0.992;0.007812
17;17;7;0.0028;2487;0.995;0.004883
18;18;3;0.0012;2490;0.996;0.003906
19;19;4;0.0016;2494;0.9976;0.002441
20;20;2;0.0008;2496;0.9985;0.001465
21;21;1;0.0004;2497;0.999;0.000977
22;22;2;0.0008;2499;1.0;0.0
23;23;1;0.0004;2500;1.0;0.0
