;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;137;0.0548;141;0.0564;0.9434
6;6;798;0.319;939;0.3755;0.6245
7;7;520;0.208;1459;0.5835;0.4165
8;8;354;0.1416;1813;0.725;0.275
9;9;209;0.0836;2022;0.8086;0.1914
10;10;150;0.06;2172;0.8687;0.1313
11;11;101;0.0404;2273;0.909;0.0908
12;12;67;0.0268;2340;0.936;0.06396
13;13;44;0.0176;2384;0.9536;0.0464
14;14;29;0.0116;2413;0.9653;0.03467
15;15;21;0.0084;2434;0.9736;0.02637
16;16;18;0.0072;2452;0.981;0.01904
17;17;9;0.0036;2461;0.9844;0.01563
18;18;13;0.0052;2474;0.9897;0.010254
19;19;7;0.0028;2481;0.9927;0.007324
20;20;4;0.0016;2485;0.994;0.00586
21;21;4;0.0016;2489;0.9956;0.004395
22;22;2;0.0008;2491;0.9966;0.003418
23;23;2;0.0008;2493;0.9976;0.002441
24;24;0;0.0;2493;0.9976;0.002441
25;25;3;0.0012;2496;0.9985;0.001465
26;26;0;0.0;2496;0.9985;0.001465
27;27;2;0.0008;2498;0.9995;0.0004883
28;28;0;0.0;2498;0.9995;0.0004883
29;29;1;0.0004;2499;1.0;0.0
30;30;1;0.0004;2500;1.0;0.0
