;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;97;0.0388;101;0.04037;0.9595
6;6;485;0.194;586;0.2344;0.7656
7;7;593;0.2372;1179;0.4717;0.5283
8;8;503;0.2012;1682;0.673;0.3271
9;9;353;0.1412;2035;0.814;0.186
10;10;246;0.0984;2281;0.912;0.0879
11;11;121;0.0484;2402;0.9604;0.03955
12;12;55;0.022;2457;0.9824;0.01758
13;13;27;0.0108;2484;0.993;0.006836
14;14;11;0.0044;2495;0.9976;0.002441
15;15;2;0.0008;2497;0.9985;0.001465
16;16;2;0.0008;2499;0.9995;0.0004883
17;17;1;0.0004;2500;1.0;0.0
