;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;130;0.052;134;0.0536;0.9463
6;6;695;0.278;829;0.3315;0.6685
7;7;524;0.2096;1353;0.541;0.459
8;8;406;0.1624;1759;0.703;0.2969
9;9;249;0.0996;2008;0.8027;0.1973
10;10;168;0.0672;2176;0.87;0.1299
11;11;110;0.044;2286;0.914;0.08594
12;12;81;0.0324;2367;0.9463;0.0537
13;13;47;0.0188;2414;0.965;0.03516
14;14;36;0.0144;2450;0.979;0.021
15;15;21;0.0084;2471;0.9873;0.012695
16;16;9;0.0036;2480;0.9907;0.00928
17;17;5;0.002;2485;0.9927;0.007324
18;18;8;0.0032;2493;0.996;0.003906
19;19;4;0.0016;2497;0.9976;0.002441
20;20;0;0.0;2497;0.9976;0.002441
21;21;2;0.0008;2499;0.9985;0.001465
22;22;0;0.0;2499;0.9985;0.001465
23;23;0;0.0;2499;0.9985;0.001465
24;24;1;0.0004;2500;0.999;0.000977
